col,n
G06F: Electric Digital Data Processing,89
"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",24
"G01C: Measuring Distances, Levels Or Bearings",14
G09B: Educational Or Demonstration Appliances,9
G10L: Speech Analysis Or Synthesis,7
H04W: Wireless Communication Networks,7
G09G: Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information,5
H04B: Transmission,4
"H04L: Transmission Of Digital Information, E.G. Telegraphic Communication",4
H04M: Telephonic Communication,4
