inventors_useme,n
KESLER MORRIS P,84.0
HALL KATHERINE L,81.0
KURS ANDRE B,76.0
LORD ROBERT W,72.0
LEVIEN ROYCE A,69.0
LORD RICHARD T,69.0
HYDE RODERICK A,68.0
MALAMUD MARK A,68.0
KARALIS ARISTEIDIS,64.0
MARIN SOLJACIC,62.0
CAMPANELLA ANDREW J,57.0
WOOD JR LOWELL L,51.0
OSTERHOUT RALPH F,50.0
TEGREENE CLARENCE T,46.0
HADDICK JOHN D,44.0
LOHSE ROBERT MICHAEL,34.0
KULIKOWSKI KONRAD J,33.0
KARE JORDIN T,29.0
GILER ERIC R,27.0
RINALDO JOHN D JR,26.0
KULIKOWSKI KONRAD,25.0
ISHIKAWA MURIEL Y,23.0
MYHRVOLD NATHAN P,23.0
NORTRUP EDWARD H,23.0
WOOD VICTORIA Y H,23.0
BORDER JOHN N,21.0
CELLA CHARLES,21.0
NORTRUP ROBERT J,21.0
SCHATZ DAVID A,19.0
WHITMER CHARLES,19.0
BREWINGTON JAMES KEITH,18.0
POTICNY DAVID M,18.0
RUBIN HARVEY,18.0
SAWKAR ANIL S,18.0
FIORELLO RON,17.0
FADELL ANTHONY MICHAEL,16.0
GUENETTE ISABEL,16.0
HOLMAN PABLOS,16.0
HONJO SHIGEFUMI,16.0
MATSUOKA YOKY,16.0
MCGARAGHAN SCOTT A,16.0
PLITKINS MICHAEL,16.0
ROGERS MATTHEW LEE,16.0
SLOO DAVID,16.0
VERON MAXIME,16.0
ZHAO FENG,16.0
LEUTHARDT ERIC C,15.0
BERNARD ROB,14.0
CALVO ANGEL SARMENTO,14.0
COCHRANE LARRY,14.0
GARMS JASON,14.0
LI QIANG,14.0
POLLARD JENNIFER MAME,14.0
SWEENEY ELIZABETH A,14.0
CORNIC PASCAL,13.0
JUNG EDWARD K Y,13.0
VEGA RENE A,13.0
CALLOU FRANCOIS,10.0
KLEIN THIERRY ETIENNE,10.0
LAURENT PATRYK,10.0
COULMEAU FRANCOIS,9.0
CROWDER WILLIAM,9.0
GELVIN DAVID C,9.0
GIROD LEWIS D,9.0
IZHIKEVICH EUGENE,9.0
KAISER WILLIAM J,9.0
KEMKEMIAN STEPHANE,9.0
LAZARJAN DZHONIK SEDRAKOVICH,9.0
LIPSTONE LAURENCE R,9.0
MERRILL WILLIAM M,9.0
NEWTON CHRISTOPHER,9.0
PASSOT JEAN-BAPTISTE,9.0
POTTIE GREGORY J,9.0
SAIKI SHUJI,9.0
SOTNIKOVA ELENA MIKHAJLOVNA,9.0
SWART ANDREW,9.0
VARDHAN SANDEEP,9.0
VARNEY LEWIS ROBERT,9.0
BOGARD TRAVIS AUSTIN,8.0
DONALDSON THOMAS ALAN,8.0
FULLAM SCOTT,8.0
GARREC PATRICK,8.0
MARTINO RAYMOND A,8.0
MISHCHENKO ANATOLIJ PETROVICH,8.0
NEWBERG FREDRIC,8.0
PERKINS DAVID L,8.0
PONULAK FILIP,8.0
RAHMAN HOSAIN SADEQUR,8.0
ROBISON JEREMIAH,8.0
SCACCHI PIERRE,8.0
SEYDOUX HENRI,8.0
SIPOS ANTON I,8.0
SOLOMON NEAL,8.0
VILLAUME FABRICE,8.0
WANG ZHANHENG,8.0
WEAVER THOMAS ALLAN,8.0
ALEXANDER ERIC J,7.0
ALMUHAIRBI EIDA,7.0
CINCOTTI K DOMINIC,7.0
EICHEL JUSTIN,7.0
HALL ROBERT J,7.0
HIETT JOHN,7.0
JONES ANTHONY C,7.0
KASSAB FARAH AFIF,7.0
LUNA MICHAEL EDWARD SMITH,7.0
LUTSUK SVETLANA NIKOLAEVNA,7.0
MATSUMURA TOSHIYUKI,7.0
MEWES JOHN J,7.0
MOORE LOUIS,7.0
MYERS GALEN,7.0
PERSHING CHRIS,7.0
RHOADS GEOFFREY B,7.0
SALENTINY DUSTIN M,7.0
UTTER II MAX EVERETT,7.0
VARGA KENNETH,7.0
WOOD LOWELL L,7.0
CALVERT S MILL,6.0
CHAN MICHAEL A,6.0
CHAO LAWRENCE,6.0
DANILOV YURI PETROVICH,6.0
DRYSDALE RICHARD LEE,6.0
DUROV DMITRIJ SERGEEVICH,6.0
EFE VOLKAN,6.0
ELISTRATOV KONSTANTIN GENNADIEVICH,6.0
ELISTRATOVA TATIANA VIKTOROVNA,6.0
ELLISON BRUCE,6.0
HELLER ADAM,6.0
JALALI AHMAD,6.0
JEWESS GORDON F,6.0
LOU HERBERT TOBY,6.0
MARTY NICOLAS,6.0
MOSS TOM,6.0
PROBASCO GENE,6.0
SAHYOUN JOSEPH YAACOUB,6.0
SAMMUT DENNIS J,6.0
SANCOFF GREGORY E,6.0
SERRE FREDERIC,6.0
SINYAVSKIY OLEG,6.0
TONG LINDA,6.0
TYLER MITCHELL EUGENE,6.0
VISWANATHAN HARISH,6.0
ZHANG CHENG,6.0
ABHYANKER RAJ,5.0
ALEXANDER ERIC,5.0
ALSHDAIFAT WASFI,5.0
BACH-Y-RITA PAUL,5.0
CONWELL WILLIAM Y,5.0
DELUCIA ANTHONY P,5.0
DENSHAM GILRAY,5.0
ELISTRATOVA JULIA ANATOLJEVNA,5.0
GOLDMAN STUART OWEN,5.0
GUANGJUN ZHANG,5.0
HARRIS MARK M,5.0
JONES ANTHONY,5.0
KALNS JOHN E,5.0
KRACKER TREVOR J,5.0
KROCK RICHARD E,5.0
KURUS NATALIA VYACHESLAVOVNA,5.0
LE BIHAN PATRICK,5.0
MARGOLIN JED,5.0
METZLER BERNHARD,5.0
MICHAEL DARREN J,5.0
MICHAEL RISCHMULLER,5.0
MILLER GREGORY D,5.0
MILLER ROBERT S,5.0
NELSON DWAYNE,5.0
PATRICK WILLIAM GRAHAM,5.0
PEETERS ERIC,5.0
PUCHKOV ALEKSANDR MIKHAJLOVICH,5.0
RAUSCHER KARL F,5.0
REITER JOHANNES,5.0
RODRIGUEZ TONY F,5.0
SHUSTER GARY STEPHEN,5.0
SMITH MICHAEL J C,5.0
STAMETS PAUL EDWARD,5.0
STOKES PAUL,5.0
STRUKOV VILLORIJ IVANOVICH,5.0
SZYDLOWSKI ALLEN,5.0
SZYDLOWSKI IAN,5.0
TELLER ERIC,5.0
TRIFONOV VYACHESLAV NIKOLAEVICH,5.0
WEAVER JAMES H,5.0
YARDEN GAL,5.0
ZHANG KESI,5.0
ZHANG YOUFU,5.0
AVNI YUVAL,4.0
BERECZ ENDRE,4.0
BORNSTEIN DANIEL R,4.0
BOUILLER PHILIPPE,4.0
BUYS KOEN,4.0
CAMPBELL MARK,4.0
CASET GIORGIO,4.0
CHEOK KA C,4.0
COENEN OLIVIER,4.0
CULVER DUNCAN,4.0
DARIS THOMAS,4.0
DAS SUMAN,4.0
DAVIS ALBERT F,4.0
DENT GREGORY D,4.0
DOWNING WARREN,4.0
DYER CHRISTOPHER K,4.0
EIDSON JOHN C,4.0
ELISTRATOV DMITRIY GENNADJEVICH,4.0
ELISTRATOV KONSTANTIN GENNAD EVICH,4.0
EPSTEIN MICHAEL L,4.0
FEDOROVA E P,4.0
FELDMAN BENJAMIN JAY,4.0
FERNANDES ROOSEVELT A,4.0
FINKEL CHARLES,4.0
FOUGEROUX ANDRE,4.0
GAUDIANA RUSSELL,4.0
GOLDSTEIN STEVEN W,4.0
GREENHILL ZACHARY R,4.0
GROMOV VLADIMIR VJACHESLAVOVICH,4.0
HARRIS MARK,4.0
HELOU ELIE JR,4.0
HIEBL MANFRED,4.0
HOFFBERG STEVEN M,4.0
HOLUNG JOSEPH ANTHONY,4.0
HOMYKOVA IRINA VLADIMIROVNA,4.0
IZHIKEVICH EUGENE M,4.0
JOHNSON MARK,4.0
JONES CHRISTOPHER MICHAEL,4.0
JU WENHAI,4.0
KOSTER JEAN NICOLAS,4.0
KUZE MITSUKAZU,4.0
LAFEVER MALCOLM GARY,4.0
LAMBERTUS DETLEF,4.0
LEE JOHNNY,4.0
LEE WENKE,4.0
LIPSMAN DAVID LAZOROVICH,4.0
LUDWIG LESTER FRANK,4.0
LYDON PATRICK,4.0
MCGAHN DANIEL P,4.0
MCGEORGE JEFFREY BRUCE,4.0
MCGUCKEN ELLIOT,4.0
MES MARIUS J,4.0
MOLDAVSKY DAVID,4.0
MONCRIEF RICK L,4.0
MUREN PETTER,4.0
NEMZOW MARTIN A,4.0
NITZAN PALDI,4.0
PANKIW TANYA,4.0
PEREGUDOV BORIS VASIL EVICH,4.0
PETILLON JEAN PAUL,4.0
POLONICHKO VADIM,4.0
QUAN JUSTIN,4.0
REDLICH RON M,4.0
RINALDO JOHN D,4.0
ROESCH PHILIPPE,4.0
RUNYON JAMES PHILIP,4.0
RUSSELL RYAN SCOTT,4.0
RYKEN MARVIN L,4.0
SCHATZ DAVID,4.0
SHINAR ZOHAR,4.0
SMITH DELIA J,4.0
SYROV ANATOLIJ SERGEEVICH,4.0
TATAUROV IOSIF JAKOVLEVICH,4.0
TOCCO JOSEPH A,4.0
TWITCHELL JR ROBERT W,4.0
VAN NGOC TY CHRISTOPHE,4.0
VIDAL JOEL,4.0
WALKER RICHARD C,4.0
WONG TIN-LUP,4.0
YEBKA BOUZIANE,4.0
ZHDANOVICH NADEZHDA PAVLOVNA,4.0
ABHYANKER RAJ V,3.0
ABUSCH-MAGDER DAVID,3.0
AL-GARNI AHMED Z,3.0
ALEXEY VERYASKIN,3.0
ALLEN ROBERT M,3.0
ARAI AKIRA,3.0
ATMUR ROBERT J,3.0
AVELINO NORMAN,3.0
AZAM ANWARUL,3.0
BAGDASARJAN EHDUARD GARIKOVICH,3.0
BAHL PARAMVIR,3.0
BALL GARRY L,3.0
BALLESTY DANIEL MALACHI,3.0
BANKS JOHNNY E,3.0
BARGOUD GEORGES RAOUF GEORGES,3.0
BARROWS GEOFFREY LOUIS,3.0
BATLA HANI,3.0
BATTCHER DUANE MICHAEL,3.0
BELBRUNO JOSEPH J,3.0
BEN-CHANOCH EYAL,3.0
BENHUA LIU,3.0
BERCOVICH MOSHE,3.0
BERKENSTOCK DANIEL,3.0
BETTS-LACROIX JONATHAN,3.0
BIETRY JOSEPH,3.0
BIND ANJU,3.0
BLAIR MATTHEW LAWRENCE,3.0
BLOOR ROBERT IAN,3.0
BROWN DAVID W,3.0
BRUNET EDGAR,3.0
BUDDHIKOT MILIND M,3.0
BUDGE TIERRY R,3.0
BUELL DICKINSON,3.0
BURGER DOUGLAS C,3.0
CAUBEL CHRISTINE,3.0
CHAKI SREYASHI DEY,3.0
CHANDRA RANVEER,3.0
CHANG YU-WEN,3.0
CHEN RIBAO,3.0
CHERNOUS TIMOFEJ ALEKSANDROVICH,3.0
CHIEN TE-YEN,3.0
CHIEN YIE W,3.0
CHOE JONG PIL,3.0
CHUNG WING YEUNG,3.0
CIAUSU VIOREL,3.0
CLOUSE SHANNON JOSEPH,3.0
COFFMAN THAYNE R,3.0
COLETTE ANTHONY,3.0
COMPTON DAVID WALTER,3.0
CORINELLA JUSTIN TYLER,3.0
COVE PATTY,3.0
CURTIS JR ROBERT HOWARD,3.0
DANIELS JOHN JAMES,3.0
DAVIS BRUCE L,3.0
DESAULNIERS JEAN MARC JOSEPH,3.0
DICKERSON BRUCE A,3.0
DING ZONGRUI,3.0
DONAN JAMES LYLE,3.0
DYOR MATTHEW G,3.0
ELINE PIERRE,3.0
EVANS BRUNO J,3.0
EVANS STEWART W,3.0
FARJON JULIEN,3.0
FEDOROV ALEKSANDR VIKTOROVICH,3.0
FRANCHET MICHEL,3.0
FREESE ROBERT P,3.0
FUQIANG ZHOU,3.0
GABARDOS BORJA IBARZ,3.0
GACHEV MARIO GANCHEV,3.0
GAIDE DANIEL,3.0
GALASSO JOHN R,3.0
GANEM STEVE J,3.0
GAO DASHAN,3.0
GATES III WILLIAM H,3.0
GENIN PHILIPPE,3.0
GERSHON PARENT,3.0
GOLDSMITH DAVID,3.0
GUILLAMA NOEL J,3.0
GUOAN LUO,3.0
HALL CHRISTOPHER N,3.0
HALL ROBERT,3.0
HANSEN JENS HENRIK,3.0
HARTLEY FRANK THOMAS,3.0
HAUSOT ANDREAS,3.0
HERSHKO ROTEM,3.0
HICKS JOHN WILBUR,3.0
HILLERY DEREK,3.0
HODGE MALCOLM H,3.0
HOFFBERG-BORGHESANI LINDA I,3.0
HOLMAN PAUL,3.0
HOLMES ELIZABETH A,3.0
HORNSBY JAMES RUSSELL,3.0
HUMBARGER CODY,3.0
HUNN DAVID L,3.0
ISAAC DRONE SHANON,3.0
JOHNSON JEROME DALE,3.0
JOHNSON WILLIAM M,3.0
JONES-STRUKOVA OLGA,3.0
JOUBERT EMMANUEL,3.0
JUNG EDWARD K,3.0
JUNHUA SUN,3.0
JURKONENKO ALEKSEJ NIKOLAEVICH,3.0
KALOUST JOSEPH H,3.0
KANDHADAI ANANTHAPADMANABHAN ARASANIPALAI,3.0
KANNEGAARD MICHAEL,3.0
KANO SAWAKO,3.0
KANTOR IGOR,3.0
KAPLAN ILAN,3.0
KARINKA SHRIDHARA ALVA,3.0
KHASIN ERNST,3.0
KING III ROBERT W,3.0
KISAK JEFFREY JAMES,3.0
KNOTTS LOUIS H,3.0
KOENIGER NIKOLAUS,3.0
KORNUSHENKO ALEKSANDR VJACHESLAVICH,3.0
KOVALENKO VALERII OLEKSIIOVYCH,3.0
KRAELING MARK BRADSHAW,3.0
KRUTIAKOV EVGENIJ NIKOLAEVICH,3.0
KUDRJAVTSEV OLEG VALENTINOVICH,3.0
KULESZ JAMES J,3.0
KUTZMANN AARON J,3.0
LAFONTAINE JEAN PIERRE,3.0
LARRABEE DANIEL,3.0
LEE JOHNNY C,3.0
LEFEBURE MARTIN,3.0
LEMELSON JEROME H,3.0
LERTOLA JOHN F,3.0
LI HONGKUN,3.0
LI QING,3.0
LI ZHIYONG,3.0
LIBBY VIBEKE,3.0
LITOVSKY ROMAN,3.0
LOHMILLER WINFRIED,3.0
LOPEZ ALFRED R,3.0
LOSIEV OLEKSII MYKHAILOVYCH,3.0
LUCCIONI MARC,3.0
LUCIDARME THIERRY,3.0
LUTKE KEVIN R,3.0
MACWILLIAMS DUNCAN S,3.0
MACWILLIAMS GRAHAM T,3.0
MANN JULIAN M,3.0
MARTIN DOUGLAS R,3.0
MASON STEVEN,3.0
MAURICE PETER R,3.0
MCCOLL ALLAN,3.0
MCGOWAN JOSEPH LEE,3.0
MEDLIN MATTHEW J,3.0
MILLER JOHN L,3.0
MILLER KENNETH J,3.0
MINER MICHAEL SCOTT,3.0
MOHANTY PRITIRAJ,3.0
MORESVE JULIEN PIERRE GUILLAUME,3.0
MORRIS JOHN WILLIAM,3.0
MOZINGO ROBERT E,3.0
MUNDIE CRAIG J,3.0
MUSHABAC DAVID R,3.0
MYERSON TED N,3.0
NAITHANI NIDHI,3.0
NAPHADE NIKHIL UDAY,3.0
NELSON SCOTT DANIEL,3.0
NGUYEN BINH T,3.0
NIEHAUS DAVID M,3.0
NORO MASAO,3.0
NUGENT MARK R,3.0
OHMIT ERIC E,3.0
PAEK TIM,3.0
PASKO DOUGLAS M,3.0
PAUL MARIUS A,3.0
PAULSEN KEITH D,3.0
PEDERSEN ROBERT D,3.0
PELLETIER MICHAEL T,3.0
PERDISCI ROBERTO,3.0
PETERSEN ERIC,3.0
PETROV IGOR JAKOVLEVICH,3.0
PIASECKI MICHAEL W,3.0
PICKOVER CLIFFORD A,3.0
PIKALIN SERGEJ ALEKSANDROVICH,3.0
POLINKO NICHOLAS R,3.0
POPOV BORIS NIKOLAEVICH,3.0
POTTER JEFFREY J,3.0
PROUTEAU JACKIE RAYMOND JULIEN,3.0
QI YUXUE,3.0
RAO DATTARAJ JAGDISH,3.0
REUDINK DOUG O,3.0
RIGAUD VINCENT,3.0
ROBERTS DAVID W,3.0
RONAN AFFRE DE SAINT ROME,3.0
RUBIN KIM T,3.0
RUFFIER FRANCK,3.0
SACLE JEROME,3.0
SAMMUT DENNIS,3.0
SCHAER ANDRE,3.0
SCHANTZ LLOYD,3.0
SERANI ERIC,3.0
SEROKHVOSTOV SERGEJ VLADIMIROVICH,3.0
SHAFFER GLENN ROBERT,3.0
SHATZ MARK N,3.0
SHAW GILBERT B,3.0
SHIYUAN ZHANG,3.0
SKAAKSRUD OLE-PETTER,3.0
SMID GERT EDZKO,3.0
SOLOV EV ALEKSEJ SERGEEVICH,3.0
SPIRTUS DANNY,3.0
SRIVASTAVA ASHOK N,3.0
TAN DESNEY S,3.0
TANG YANLONG,3.0
TAVITOVA GALINA KIRILLOVNA,3.0
TAYNE ADRIAN P,3.0
THOMAS MICHAEL STEVEN,3.0
TOLBINA GALINA ANATOLIEVNA,3.0
TONKACHEV VLADIMIR VIKTOROVICH,3.0
TRIFONOV VJACHESLAV NIKOLAEVICH,3.0
TUCKERMAN DAVID B,3.0
UBHI GURPREET,3.0
VELAZCO ALEC,3.0
WANG CHONGGANG,3.0
WANG XIAOYI,3.0
WANG YI,3.0
WEINMANN ROBERT V,3.0
WELLCOME DAVID,3.0
WHELAN DAVID A,3.0
WIGHT RALPH,3.0
WILDER KELLIE A,3.0
WILLIAMS ANCA G,3.0
WILLIAMS ROBERT VAUGHN,3.0
WILTSE JOHN M,3.0
WORMER THOMAS NORTHROP,3.0
YANG ZHEN,3.0
YANG ZHONGQI,3.0
YEOMANS CHRIS,3.0
YOUNG JOEL,3.0
ZABAN ARIE,3.0
ZENG ZHIJIANG,3.0
ZHANG HONG,3.0
ZHENZHONG WEI,3.0
ZHONG LIN,3.0
ZHONG XIN,3.0
ZUBAREV ALEKSANDR NIKOLAEVICH,3.0
ABRAMS DANIEL,2.0
ACKERT BRUCE,2.0
ADELMAN JEFFREY MICHAEL,2.0
AGARWAL KAITKI,2.0
AHUMADA FABIANA,2.0
AHUMADA-SEGURA FABIANA,2.0
ALBANO FABIO,2.0
ALDERUCCI DEAN P,2.0
ALLER JOSHUA V,2.0
AMIS DAVID,2.0
ANDERSON CLIFTON GERARD,2.0
ANDERSON STERLING J,2.0
ANDREEVA ELENA STANISLAVOVNA,2.0
ANDREWS JOHN ANTHONY,2.0
ANGELESCU DAN,2.0
ANGELESCU DAN E,2.0
AO JIKANG,2.0
ARAMBURU JASON,2.0
ARLTON DAVID J,2.0
ARLTON PAUL E,2.0
ARMSTRONG KEITH C,2.0
ARTJUSHIN BORIS SERGEEVICH,2.0
ARTZNER LAURENT,2.0
ASHTON MARTIN,2.0
AVNIEL YUVAL,2.0
BACABARA CORINNE,2.0
BACHELDER EDWARD N,2.0
"BACKSTEIN, GUENTER",2.0
BAKER BRIAN C,2.0
BAKER STEPHEN,2.0
BALDWIN CHRISTOPHER,2.0
BANDY WILLIAM ROBERT,2.0
BAOZHU LI,2.0
BARCLAY JR CLAYTON C,2.0
BARKLEY ROBERT O,2.0
BARRETT ANDREW N,2.0
BAUKUS WILLIAM JOHN,2.0
BEHAN THOMAS,2.0
BEHENSKY MAX L,2.0
BEHENSKY MAX LARKIN,2.0
BEHRENS RUDOLPH,2.0
BEITH SCOTT,2.0
BELANOFF JOSEPH K,2.0
BELJAEV ALEKSANDR VLADIMIROVICH,2.0
BENEDETTI DAVID A,2.0
BENTON STEVEN,2.0
BERGERON BRYAN,2.0
BERRY ROBERT W,2.0
BICKLEY ROBERT HENRY,2.0
BIKKO NIRINJAN,2.0
BLOOMQUIST KIRK ELLIOT,2.0
BO XIAOCHEN,2.0
BO ZHANG,2.0
BOISSONNEAULT ROGER M,2.0
BONACI TAMARA,2.0
BORKO BRANDON,2.0
BOURZIER LAURENT,2.0
BOWSER MICHAEL E,2.0
BOYLE CHARLES G,2.0
BRADY PAUL DECLAN,2.0
BRAHLER II RICHARD W,2.0
BREDY THIERRY,2.0
BREED DAVID S,2.0
BREITSCHEIDEL BORIS,2.0
BRENNER CHARLES HERBERT,2.0
BREUER MICHAEL,2.0
BRITCHER ERIC BRAMWELL,2.0
BROOKS JONATHAN,2.0
BROOKS VERN E,2.0
BROWN ROBERT,2.0
BROWN WESLEY D,2.0
BRUTOCO RINALDO,2.0
BURCHETTE ROBERT L JR,2.0
BYKOV ALEKSANDR GRIGOR EVICH,2.0
CAIN LAWRENCE,2.0
CANDELORE BRANT L,2.0
CAPOBIANCO JOSEPH ALBERT,2.0
CARLSON CASEY R,2.0
CARTER GEORGE,2.0
CHAN ALISTAIR K,2.0
CHANGJIE JIANG,2.0
CHANGKU SUN,2.0
