weight,title_phrases
1.0,double-storey Trough Beehive
1.0,Two-population System
1.0,Insbesondere Einer Drohne Mit DrehflÃ¼geln
1.0,verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne
1.0,MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada
1.0,Bag Pipes
1.0,bollet Nose
1.0,Drone Reed
1.0,Plastic Screw
1.0,Remote Controlled Combat
1.0,Surface-bound Targets
1.0,bagpipe Reed System
1.0,transaction Card System
1.0,gas Stream Deflection System
1.0,body Capacitance Electric Body Capacitance Electric Field Powered Device
1.0,Hgh Voltage Lines
1.0,beehive Frame
1.0,Comb Foundation
1.0,Target Searching
1.0,aerial Inspection System(s)
1.0,bagpipe Drone Reed
1.0,cargo Aircraft
1.0,Observation System
1.0,self-sustaining Drone Aircraft Freight
1.0,drone Seismic Sensing Method
1.0,Power Lines
1.0,random Pattern
1.0,Statistic Modulation Transfer Function
1.0,double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method
1.0,unmanned Aerial Plane Launching System
1.0,unmanned Aerial Plane Launching System
1.0,antisense Oligonucleotide
1.0,Apoptosis Gene Caspase-4
1.0,Camera Calibration Target
1.0,Determining Drone Target Topological Relation
1.0,antineoplastic Drug Evaluation
1.0,Cell Microscopic Image Information
1.0,Screening Method
1.0,Drone Pupa Freeze-dried Powder Medicinal Granules
1.0,new Use
1.0,avigation Close Range Photography Displacement Measurement System
1.0,Measurement Method
1.0,Unmanned Aerial Vehicle
1.0,Camera Marking Method
1.0,Double 1-dimension Drone
1.0,Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes
1.0,Thrombus Medicament
1.0,great Structure Horizontal Two-dimensional Displacement Automatic
1.0,Power-driven Walking
1.0,rack Type Sprayer
1.0,bracket Sprayer
1.0,Manpower Traction
1.0,automatic Target Control Device
1.0,automated Audio Sub-band Comparison
1.0,dynamic Precision Target Drone
1.0,Three-dimensional Colourful Digital System
1.0,encarsia Sophia Artificial Propagation Production Method
1.0,One-dimensional Target Drone
1.0,structure Optical Parameter
1.0,Solving Method
1.0,unmanned Machine Real Time Target Information Solving Machine
1.0,Enterocolitis Yersinia Genus Gene
1.0,Loop-mediated Isothermal Amplification Technique
1.0,rapid Diagnosis Kit
1.0,Composite Planar Target Drone
1.0,Small-scale Vision
1.0,Video Camera
1.0,plane Target Drone Characteristic Point Automatic Matching Method
1.0,Video Camera
1.0,medicine Composition
1.0,Multi-target Receptor After-action Mechanism
1.0,Trypanosoma Brucei Leucyl Trna Synthetase
1.0,"benzo [e] Isoindazole-1,3 Diketone Compound"
1.0,Gsk Inhibiting Agent
1.0,Preparation Method
1.0,Fluorescence Quantitative Pcr Genotypes
1.0,Hepatic Cell Carcinoma
1.0,One-dimensional Target Drone
1.0,Structure Light Vision Transducer
1.0,intelligent Movable Target Machine System
1.0,Capsaicine Compound
1.0,Finishing Agent
1.0,Laser Measurement
1.0,Locating Web-type Wing Ribs
1.0,Alive Pure Drone Pupa
1.0,Holandric Honeycomb
1.0,production Method
1.0,Antitumor Medicine Screening
1.0,New Tumor Blood Vessel Drone
1.0,Transfer Stimulating Factor
1.0,Breeding High-quality Anti-mite Bee Variety
1.0,1# Frame
1.0,Plane General Assembly
1.0,queen Bee Wine
1.0,detection Method
1.0,Electro-optic Theodolite
1.0,Television Camera Frame Frequency Drift
1.0,bee Pollination Technology
1.0,Generalized Chrysanthemum Plants
1.0,global Calibration Method
1.0,Multisensor Vision Measurement System
1.0,Rigid Rod
1.0,breeding Technique
1.0,Wild Bumblebee
1.0,Piloting Drone
1.0,Recognition Markers
1.0,CN 102257989
1.0,Breeding High-quality Mite-resistant Bee Species
1.0,Human Operator
1.0,Human Robot Interface
1.0,Remote Control
1.0,teleoperation Method
1.0,Multiple Rotors
1.0,Rotary-wing Drone
1.0,Curved Steering
1.0,Multiple Rotors
1.0,Rotary-wing Drone
1.0,Flip Type Maneuver
1.0,Common Tangent
1.0,linear Solving
1.0,Same Circles
1.0,Video Camera Internal Parameters
1.0,altitude Estimator
1.0,Multiple Rotors
1.0,Rotary-wing Drone
1.0,space-based Orbital-transfer Drone
1.0,under-ice Fixed-depth Ice Breaking Bullet
1.0,Cloud Technology
1.0,Defense Virtual Simulation System
1.0,remote Network Attack
1.0,novel Application
1.0,Stomach Cancer
1.0,Trim59 Protein
1.0,Breeding Encarsia Sophia Drones
1.0,Eretmocerus Hayati
1.0,hydrogen-peroxide-assisted Ignition Device
1.0,Electrical Testing Locating Hole
1.0,Hard Multiple-layer Circuit Board
1.0,queen Bee Single-way Channel Gate
1.0,queen Bee Single-way Channel Valve
