inventors_useme,n
CALLOU FRANCOIS,10.0
LAZARJAN DZHONIK SEDRAKOVICH,9.0
SOTNIKOVA ELENA MIKHAJLOVNA,9.0
MISHCHENKO ANATOLIJ PETROVICH,8.0
WANG ZHANHENG,8.0
ALMUHAIRBI EIDA,7.0
ELISTRATOV KONSTANTIN GENNADIEVICH,7.0
ELISTRATOVA TATIANA VIKTOROVNA,7.0
KASSAB FARAH AFIF,7.0
LUTSUK SVETLANA NIKOLAEVNA,7.0
DUROV DMITRIJ SERGEEVICH,6.0
SERRE FREDERIC,6.0
STRUKOV VILLORIJ IVANOVICH,6.0
ZHANG CHENG,6.0
ALSHDAIFAT WASFI,5.0
ELISTRATOV DMITRIY GENNADJEVICH,5.0
ELISTRATOVA JULIA ANATOLJEVNA,5.0
GUANGJUN ZHANG,5.0
HYDE RODERICK A,5.0
KURUS NATALIA VYACHESLAVOVNA,5.0
MICHAEL RISCHMULLER,5.0
PUCHKOV ALEKSANDR MIKHAJLOVICH,5.0
TRIFONOV VYACHESLAV NIKOLAEVICH,5.0
ZHANG KESI,5.0
ZHANG YOUFU,5.0
BUYS KOEN,4.0
CORNIC PASCAL,4.0
ELISTRATOV KONSTANTIN GENNAD EVICH,4.0
FEDOROV ALEKSANDR VIKTOROVICH,4.0
FEDOROVA E P,4.0
GARREC PATRICK,4.0
GROMOV VLADIMIR VJACHESLAVOVICH,4.0
HOMYKOVA IRINA VLADIMIROVNA,4.0
JALALI AHMAD,4.0
JOHNSON MARK,4.0
JU WENHAI,4.0
LIPSMAN DAVID LAZOROVICH,4.0
LORD RICHARD T,4.0
LORD ROBERT W,4.0
PEREGUDOV BORIS VASIL EVICH,4.0
SEYDOUX HENRI,4.0
SYROV ANATOLIJ SERGEEVICH,4.0
SZYDLOWSKI ALLEN,4.0
SZYDLOWSKI IAN,4.0
TATAUROV IOSIF JAKOVLEVICH,4.0
TEGREENE CLARENCE T,4.0
TOLBINA GALINA ANATOLIEVNA,4.0
TRIFONOV VJACHESLAV NIKOLAEVICH,4.0
ZHDANOVICH NADEZHDA PAVLOVNA,4.0
ANDREEVA ELENA STANISLAVOVNA,3.0
BAGDASARJAN EHDUARD GARIKOVICH,3.0
BENHUA LIU,3.0
CAUBEL CHRISTINE,3.0
CHEN RIBAO,3.0
CHERNOUS TIMOFEJ ALEKSANDROVICH,3.0
CHOE JONG PIL,3.0
DESAULNIERS JEAN MARC JOSEPH,3.0
ELINE PIERRE,3.0
EREMINA NATALYA VYACHESLAVOVNA,3.0
FARJON JULIEN,3.0
FUQIANG ZHOU,3.0
GALEEVA RAMZIYA TIMURSHOVNA,3.0
GUOAN LUO,3.0
HELOU ELIE JR,3.0
HODGE MALCOLM H,3.0
HUANG XIN,3.0
JONES-STRUKOVA OLGA,3.0
JUNG EDWARD K Y,3.0
JUNHUA SUN,3.0
JURKONENKO ALEKSEJ NIKOLAEVICH,3.0
KHOMYAKOVA IRINA VLADIMIROVNA,3.0
KORNUSHENKO ALEKSANDR VJACHESLAVICH,3.0
KOVALENKO VALERII OLEKSIIOVYCH,3.0
KRUTIAKOV EVGENIJ NIKOLAEVICH,3.0
KUDRJAVTSEV OLEG VALENTINOVICH,3.0
KURUS NATAL JA VJACHESLAVOVNA,3.0
LEFEBURE MARTIN,3.0
LEVIEN ROYCE A,3.0
LOSIEV OLEKSII MYKHAILOVYCH,3.0
MAKSIMOVA MARINA NIKOLAEVNA,3.0
MALAMUD MARK A,3.0
MATSUMURA TOSHIYUKI,3.0
MORESVE JULIEN PIERRE GUILLAUME,3.0
PETROV IGOR JAKOVLEVICH,3.0
PIKALIN SERGEJ ALEKSANDROVICH,3.0
POPOV BORIS NIKOLAEVICH,3.0
