applicants_organisations_only,n
PARROT,25.0
THALES SA,25.0
OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM,15.0
DCNS,12.0
DIEHL GMBH & CO,12.0
BAODING LONG TENG SPORTS GOODS CO LTD,10.0
EADS (various locations),10.0
G MASHINOSTROITEL NOE KB RADUGA IM A JA BEREZNJAKA AOOT,8.0
HYUNDAI MOTOR CO LTD,8.0
BOEING CO,7.0
EUROCOPTER FRANCE,7.0
FLIR SYSTEMS,7.0
KORPORATSIJA TAKTICHESKOE RAKE,7.0
UNIV BEI HANG,7.0
DELTA DRONE,6.0
AEROSPATIALE,5.0
FEDERAL NOE GUP MO O KB MARS FGUP MOKB MARS,5.0
MATSUSHITA ELECTRIC IND CO LTD,5.0
PJATIGORSKAJA G FARMATSEVTICHE,5.0
SAGEM DEFENSE SECURITE,5.0
UNIV TSINGHUA,5.0
UNIV ZHEJIANG,5.0
US NAVY,5.0
ACT LIGHTING DESIGN,4.0
AKADEMIJA,4.0
BEE RES INST CAAS,4.0
ELWHA LLC,4.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA STAVR,4.0
G OBRAZOVATEL NOE UCHREZHDENIE,4.0
HARSCO CORP,4.0
LFK GMBH,4.0
PUY DU FOU INTERNAT,4.0
RHEINMETALL GMBH,4.0
ROSSIJSKAJA FEDERATSIJA OT IM KOTOROJ VYSTUPAET MIN PROMY I TORGOVLI RF MINPROMTORG ROSSII,4.0
SAMSUNG THALES CO LTD,4.0
SHANGHAI BAORUI INFORMATION TECHNOLOGY DEV CO LTD,4.0
UNIV NAT AGRARIAN,4.0
ZD IM V A DEGTJAREVA AOOT,4.0
AEHROKON AOZT,3.0
ASTRIUM SAS,3.0
BOSE CORP,3.0
DINGZHOU CITY LISHENG SPORTS GOODS CO LTD,3.0
GUIZHOU BOAN TECHNOLOGY CO LTD,3.0
HONEYWELL INT INC,3.0
INST FOREST ECOLOGY ENVIRONMENT & PROT CAF,3.0
KRAUSS MAFFEI WEGMANN GMBH & C,3.0
LOCKHEED CORP,3.0
MENTOR SUBSEA TECH SERV INC,3.0
MESSERSCHMITT BOELKOW BLOHM,3.0
MITSUBISHI ELECTRIC CORP,3.0
NEC CORP,3.0
POWER MEASUREMENT LTD,3.0
THOMSON LICENSING,3.0
UBIQOMM LLC,3.0
UNITED TECHNOLOGIES CORP,3.0
UNIV BEIJING BUAA,3.0
UNIV TIANJIN,3.0
YAMAHA CORP,3.0
AIRBUS DS SAS,2.0
AIRBUS GROUP SAS,2.0
ATLAS ELEKTRONIK GMBH,2.0
BAE,2.0
BEIJING WEIBIAOZHIYUAN TECHNOLOGY DEV CO LTD,2.0
BOSCH GMBH ROBERT,2.0
CHENGDU CHENGKE XIONGDI HONEY INDUSTRY CO LTD,2.0
CHINA EWATT TECHNOLOGY CO LTD,2.0
CHINA RAILWAY BAOJI BRIDGE GROUP CO LTD,2.0
CONTOLEON G A,2.0
DAHRWIN LLC,2.0
DAIMLER BENZ AG,2.0
DEUTSCH ZENTR LUFT & RAUMFAHRT,2.0
DORNIER GMBH,2.0
ECA,2.0
ELBIT SYSTEMS LTD,2.0
EUROCOPTER DEUTSCHLAND,2.0
FEDERAL NOE G KAZENNOE VOENNOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA VOENNAJA AKADEMI,2.0
FEDERAL NOE GUP TSENTRAL NYJ AEHROGIDRODINAMICHESKIJ INST IM PROFESSORA N E ZHUKOVSKOGO FGUP TSAGI,2.0
FRAUNHOFER GES FORSCHUNG,2.0
FUJIAN WEISHENG SECURITY EQUIPMENT TECHNOLOGY CO LTD,2.0
GEOLA TECHNOLOGIES LTD,2.0
GIAT IND SA,2.0
HEXAGON TECHNOLOGY CT GMBH,2.0
HONGFUJIN PREC IND SHENZHEN,2.0
HUBEI HECHANG NEW MATERIAL TECHNOLOGY CO LTD,2.0
HUNCHUN GUOYAOBOCHENG TECHNOLOGY CO LTD,2.0
IBM,2.0
INST OF ROCK & SOIL MECH CAS,2.0
INST PLANT PROTECTION IPP CAAS,2.0
INST SUPERIEUR DE L AERONAUTIQUE ET DE L ESPACE,2.0
JIANGXI AGRICULTURAL UNIVERSITY INST OF BEE,2.0
JIANGXI HONGDU AVIAT IND GROUP,2.0
JULIET MARINE SYSTEMS INC,2.0
KIETTA,2.0
KOREA AEROSPACE RES INST,2.0
KOREAN AIR LINES CO LTD,2.0
LANXI HONGXIANG BIO TECHNOLOGY CO LTD,2.0
MAX PLANCK GESELLSCHAFT,2.0
MYSPACE INC,2.0
NANJING SCIENCE & ENGINEERING,2.0
NEXTER MUNITIONS,2.0
NEXTER SYSTEMS,2.0
NORD SYSTEMTECHNIK,2.0
OOO PARAFARM,2.0
PANASONIC CORP,2.0
POLK INVESTMENT CORP,2.0
REDDYS LAB LTD DR,2.0
REPUBLIC KOREA MAN RURAL DEV,2.0
SAFT GROUPE SA,2.0
SCHERING AG,2.0
SHAANXI LAOQIANG TARGET CO LTD,2.0
SHAANXI LAOQIANG TECHNOLOGY ENGINEERING CO LTD,2.0
SHENYANG INST AUTOMATION,2.0
SHENZHEN AEE AVIAT TECHNOLOGY CO LTD,2.0
SHINGY KK,2.0
SHIRATORI PHARM,2.0
SIEMENS AG,2.0
SKYLIFE TECHNOLOGY HOLDINGS LLC,2.0
SNECMA,2.0
THOMSON CSF,2.0
TIANJIN CHANGSONG FOOD CO LTD,2.0
UNIV BEIJING AGRICULT,2.0
UNIV KING FAHD PET & MINERALS,2.0
UNIV YUNNAN,2.0
XI AN AIRCRAFT DESIGN INST CHINA AVIAT IND CORP,2.0
XINAN TEACHER S UNIV,2.0
YIYANG SCIENCE & TECHNOLOGY CO,2.0
YUNNAN POWER GRID CO LTD,2.0
ZHUHAI XINGYU MODEL IND CO LTD,2.0
3M INNOVATIVE PROPERTIES CO,1.0
A U E V ADVANCED UNMANNED ELECTRIC VEHICLE,1.0
AAI CORP,1.0
ADACEL INC,1.0
ADCIS S R O,1.0
ADVANCED LIQUID LOGIC INC,1.0
ADVANCED TECH MATERIALS,1.0
ADVANTEN SOC PAR ACTIONS SIMPL,1.0
AERODRONES SARL,1.0
AEROSPACE SCI & IND SHENZHEN,1.0
AIRINOV,1.0
AIROBOTICS LTD,1.0
AIX MARSEILLE UNIVERSITE,1.0
AJU CORP CO LTD,1.0
AKTSIONERNOE OBSHCHESTVO KONTSERN RADIOSTROENIJA VEGA,1.0
AKTSIONERNOE OBSHCHESTVO NI INZH INST AO NIII,1.0
ALCATEL LUCENT,1.0
ALFA YUTA PROMPTING DEV AND ADVANCED TECHNOLOGY LTD,1.0
ALLIEDSIGNAL ELAC NAUTIK GMBH,1.0
ALPEN ADRIA UNI KLAGENFURT,1.0
ALTAIR,1.0
AMERICAN SCIENCE & ENG INC,1.0
ANGEL SECURE NETWORKS INC,1.0
APPLIED ELECTRONICS RES INST O,1.0
ASK IND SPA,1.0
ASTRAZENECA AB,1.0
AT & T IP I LP,1.0
ATARI INC,1.0
AUST PACIFIC FOREST MAN PTY LT,1.0
AVENTIS PHARMA INC,1.0
AVIA GIS,1.0
AVIC TIANSHUI AVIAT INDUSTRY C,1.0
BAKER HUGHES INC,1.0
BAYER AG,1.0
BCB INT LTD,1.0
BEE INST CHINESE ACADEMY OF AG,1.0
BEIING AEROSPACE UNIV,1.0
BEIJING ACAD AGRIC & FORESTRY,1.0
BEIJING AERONAUTICAL & ASTRONA,1.0
BEIJING AERONAUTICAL & SPACE U,1.0
BEIJING BAIHUA BEE PRODUCT TECHNOLOGY DEV CO LTD,1.0
BEIJING ECKMAN BIO TECH CO LTD,1.0
BEIJING HANGTIAN KEYI TECHNOLOGY CO LTD,1.0
BEIJING INST MECH EQUIPMENT,1.0
BEIJING JUNXING RUILONG TECHNOLOGY DEV CO LTD,1.0
BEIJING RES CT INF TECH AGRI,1.0
BEIJING TECHNOLOGY UNIV,1.0
BEIJING TIANHANG HUACHUANG SCIENCE & TECHNOLOGY CO LTD,1.0
BEIJING XINANTONG SHOOTING RANGE ARMING TECHNICAL CO LTD,1.0
BEIJING YANGSHEN BIOINFORMATIC TECHNOLOGY CO LTD,1.0
BERTIN TECHNOLOGIES SA,1.0
BIOKOSMETICHESKAJA FABRIKA,1.0
BIOSPHERE AEROSPACE LLC,1.0
BISCOTTI INC,1.0
BMTI,1.0
BREIZHTECH,1.0
BRITISH AEROSPACE,1.0
BRITTMORE GROUP LLC,1.0
BRUPAT LTD,1.0
C & P TECHNOLOGIES INC,1.0
CANCER INST CAMS,1.0
CAPITAL BIOCHIP CO LTD,1.0
CASSIDIAN,1.0
CASSIDIAN SAS,1.0
CENTRE NAT DE LA RECH SCIENT (CNRS),1.0
CENTURYLINK IP LLC,1.0
CERENIS THERAPEUTICS HOLDING SA,1.0
CETIM CERMAT ASS,1.0
CGG SERVICES SA,1.0
CHANGCHUN AOPU OPTO ELECTRONIC,1.0
CHANGCHUN OPTICS FINE MECH,1.0
CHENGDU CHENGKE BROTHERS BEE INDUSTRY CO LTD,1.0
CHENGDU QUNXIA TECHNOLOGY CO LTD,1.0
CHENGDU YUYA SCIENCE & TECHNOLOGY CO LTD,1.0
CHINA ACADEMY OF AEROSPACE AER,1.0
CHINESE PEOPLE S ARMED POLICES,1.0
CHUBU ELECTRICAL SAFETY SERVICES FOUNDATION,1.0
CHUNG SHAN INST OF SCIENCE,1.0
CIE D ETUDES DE REALISATIONS E,1.0
CIXI CITY ZHOUXIANG TOWN ZHIHUA BEEKEEPING EQUIPMENT PLASTIC PLANT,1.0
CLEVIS FULCRUM LTD,1.0
CLOUDCAR INC,1.0
COFICE,1.0
COMMAND COLLEGE OF THE CHINESE,1.0
COMMW SCIENT IND RES ORG,1.0
CONOCOPHILLIPS CO,1.0
CONSTRUC STANDARD TESTING CT CO LTD,1.0
CONTI TEMIC MICROELECTRONIC,1.0
CONTINENTAL AUTOMOTIVE SYSTEMS,1.0
CROWN INT,1.0
DAILY USE EQUIPMENT FACTORY DE,1.0
DAMM,1.0
DATAFLYTE INC,1.0
DCN,1.0
DELAIR TECH SAS,1.0
DESCATHA,1.0
DIRECT MARKETING SOFTWARE PTY LTD,1.0
