title_phrases,n
Target Drone,16.0
Preparation Method,9.0
Unmanned Aerial Vehicle,8.0
Drone Aircraft,6.0
Rotary-wing Drone,6.0
speaker System,6.0
Underwater Drone,6.0
Reconnaissance Drone,5.0
vertical Take-off,5.0
aircraft I.e,4.0
Drone Larvae,4.0
Naval Platform,4.0
Remote Control,4.0
sensor System,4.0
air Drone,3.0
Control Method,3.0
dynamic Point,3.0
fire Suppression Delivery System,3.0
Mobile Network,3.0
Multiple Rotors,3.0
speaker Device,3.0
underwater Vehicle,3.0
unmanned Drone,3.0
Video Camera,3.0
Voilure Tournante,3.0
Activated Explosives,2.0
Active Additive,2.0
Active Food Additive,2.0
Adsorbed Drone Brood,2.0
Aerial Drone,2.0
Air Conditioner,2.0
Airborne Drones,2.0
Anti-inflammatory Effect,2.0
autonomous Mission Profile Planning,2.0
Auxiliary Equipment,2.0
ball Target Machine,2.0
Bee Products,2.0
body Capacitance Electric Field Powered Device,2.0
Bone Fractures,2.0
broadband Access System Via Drone/uav Platforms,2.0
Control Device,2.0
Control System,2.0
Control Unit,2.0
Drone Brood,2.0
Drone Plane,2.0
Drone Pupae,2.0
Drone System,2.0
Dynamic Wireless Ad-hoc Networks,2.0
Efficient Sub-woofer System,2.0
Electric Motors,2.0
External Devices,2.0
fighter Device,2.0
flight Control System,2.0
Flying Drone Apparatus,2.0
Flying Object,2.0
Gyropendular Craft,2.0
helicopter Drone,2.0
High Accuracy,2.0
high Speed Surface Craft,2.0
High Voltage Lines,2.0
Horizontal Flight,2.0
Horizontal Speed,2.0
Increasing Total,2.0
Intermediate Device Aspects System,2.0
Landing Miniature Drone,2.0
making Method,2.0
Manufacturing Supply Packs,2.0
Mobile Phone,2.0
moving Target Drone,2.0
Neuron Command,2.0
One-dimensional Target Drone,2.0
Operational Area,2.0
Osteoporosis Diseases,2.0
Pharmaceutical Composition,2.0
Power Lines,2.0
practice Bagpipe Chanter,2.0
precision Parachute Recovery System,2.0
