applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"ASK IND SPA","ASK IND SPA","0","B60R11/0217; B60R11/0223; B60R2011/0043; B60R2011/0045; H04R1/283; H04R2499/13","","16","","B60R11/00; B60R11/02; H04R1/28","Vehicles; Loudspeakers/Microphones","B60R: Performing Operations; Transporting -> Vehicles In General -> Vehicles, Vehicle Fittings, Or Vehicle Parts, Not Otherwise Provided For; H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","IT","Italy","IT RE980117 A","1998","AR","Argentina","2002-8-7","AR 021856 A1","2002","Elemento Pasivo Que Funciona En Combinacion Con Un Parlante Activo Y Alojado En Un Espacio Vacio Que Tiene Un Volumen Cerrado De Aire Para Producir Unincremento De La Eficacia Del Parlante, En Particular A Bajas Frecuencias","Bajas Frecuencias; elemento Pasivo Que Funciona En Combinacion Con Un Parlante Activo Y Alojado En Un Espacio Vacio Que Tiene Un Volumen Cerrado De Aire Para Producir Unincremento De La Eficacia Del Parlante; En Particular","https://lens.org/189-466-043-698-920"
"","MANIN MICHEL","0","G01V1/3808","","22","","","","","","FR","France","FR 0950012 A","2009","AR","Argentina","2011-3-9","AR 075121 A1","2011","Metodo Y Dispositivo Mejorados Para La Prospeccion Sismica Acuatica","metodo Y Dispositivo Mejorados Para La Prospeccion Sismica Acuatica","https://lens.org/143-256-917-407-318"
"SCHIEBEL GES M B H","SCHIEBEL GES M B H","0","B64C2201/024; B64C2201/108; B64C2201/127; B64C2201/146; B64C2201/162; B64C2201/165; B64C39/024","","24","SCHIEBEL HANS-GEORG","B64C39/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","AT","Austria","AT 12022004 A","2004","AT","Austria","2005-10-15","AT A12022004 A","2005","Unbemannter Hubschrauber","unbemannter Hubschrauber","https://lens.org/013-820-289-119-542"
"MARKOWETZ FRANZ","MARKOWETZ FRANZ","0","A01K47/00","","2","","A01K47/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","AT","Austria","AT 33585 A","1985","AT","Austria","1995-1-15","AT A33585 A","1995","Doppelstocktrogbeute FÃ¼r Die ZweivÃ¶lkerbetriebsweise Zur GÃ¤nzlichen Schwarmunterbindung","doppelstocktrogbeute FÃ¼r Die ZweivÃ¶lkerbetriebsweise Zur GÃ¤nzlichen Schwarmunterbindung","https://lens.org/080-780-325-762-321"
"SCHERING AG","SCHERING AG","0","C07C45/006; C07C45/73; C07C49/403; C07D311/74","","14","","C07C45/00; C07C45/73; C07C49/403; C07D311/74","Organic Chemistry","C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","DE","Germany","DE 2006372 A","1970","AT","Austria","1972-9-11","AT 301543 B","1972","Verfahren Zur Herstellung Von Neuen Benzopyranderivaten","verfahren Zur Herstellung Von Neuen Benzopyranderivaten","https://lens.org/072-084-291-460-544"
"SCHERING AG","SCHERING AG","0","C07J5/00; Y10S514/825; Y10S514/826; Y10S514/863","","29","","A61K31/57; C07C; C07J5/00; C07J7/00","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds; C07J: Chemistry; Metallurgy -> Organic Chemistry -> Steroids","","DE","Germany","DE 2064859 A","1970","AT","Austria","1974-1-25","AT 312823 B","1974","Verfahren Zur Herstellung Von Neuen 6Î±-fluor-16Î±,18-dimethyl-1,4-pregnadien-3,20-dionderivaten","verfahren Zur Herstellung Von Neuen 6Î±-fluor-16Î±,18-dimethyl-1,4-pregnadien-3,20-dionderivaten","https://lens.org/034-658-237-174-32X"
"VAW VER ALUMINIUM WERKE AG","VAW VER ALUMINIUM WERKE AG","0","B61D17/041; B61D17/08; B61D17/10","","8","ELSNER OLAF; SCHNAAS JUERGEN","B61D17/04; B61D17/08; B61D17/10; B62D31/02","Railways; Land Vehicles","B61D: Performing Operations; Transporting -> Railways -> Body Details Or Kinds Of Railway Vehicles; B62D: Performing Operations; Transporting -> Land Vehicles For Travelling Otherwise Than On Rails -> Motor Vehicles; Trailers","","DE","Germany","DE 4301763 A","1993","AT","Austria","1997-1-15","AT 146417 T","1997","Wagenkastenaufbau, Insbesondere FÃ¼r Eisenbahnwagen Zur PersonenbefÃ¶rderung","Insbesondere FÃ¼r Eisenbahnwagen Zur PersonenbefÃ¶rderung","https://lens.org/180-373-684-761-176"
"ZENECA LTD","ZENECA LTD","0","A01N2300/00; A01N25/22; A01N35/06; A01N37/42; A01N41/10; C07C205/45; C07C255/40; C07C317/24","","32","CHEN JINLING; SCHER HERBERT BENSON","A01N35/06; A01N37/42; A01N41/10; C07C205/45; C07C255/40; C07C317/24","Agriculture; Organic Chemistry","A01N: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides, E.G. As Disinfectants, As Pesticides Or As Herbicides; Pest Repellants Or Attractants; Plant Growth Regulators; C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds","","US","United States of America","US 59560596 A","1996","AT","Austria","2000-1-15","AT 188339 T","2000","Stabile Herbizide Zusammensetzungen, Die Metalchelate Von Herbiziden Dionen Enthalten","Die Metalchelate Von Herbiziden Dionen Enthalten; stabile Herbizide Zusammensetzungen","https://lens.org/102-558-221-531-261"
"AEROSPATIALE","AEROSPATIALE","0","F41G7/32; F42B15/04; G02B6/4457","","8","BARNIER JEAN-FRANCOIS","B64C39/02; F41G7/32; F42B15/04; G02B6/44","Aircraft; Weapons; Optics","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition; G02B: Physics -> Optics -> Optical Elements, Systems, Or Apparatus","","FR","France","FR 9510385 A","1995","AT","Austria","2001-11-15","AT 208886 T","2001","Fernbedienungssystem FÃ¼r Eine Mit Einem Draht Gesteuerte Rakete","fernbedienungssystem FÃ¼r Eine Mit Einem Draht Gesteuerte Rakete","https://lens.org/179-736-376-179-488"
"SCHERING AG","SCHERING AG","0","C07J53/00; C07J71/0005; Y10S514/841; Y10S514/843","","50","FRITZEMEIER KARL-HEINRICH; HALFBRODT WOLFGANG; KRATTENMACHER ROLF; KUHNKE JOACHIM; MUHN HANS-PETER; SCHOELLKOPF KLAUS; SCHWEDE WOLFGANG","A61K31/56; A61K31/58; A61P43/00; C07J53/00; C07J71/00","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07J: Chemistry; Metallurgy -> Organic Chemistry -> Steroids","","DE","Germany","DE 4447401 A","1994","AT","Austria","2000-6-15","AT 193300 T","2000","14alpha,17alpha-c2-Ã¼berbrÃ¼ckte 19-nor- Progesteronderivate","14alpha,17alpha-c2-Ã¼berbrÃ¼ckte 19-nor- Progesteronderivate","https://lens.org/119-053-067-033-961"
