applicants,applicants_cleaned_type,applicants_organisations,applicants_original,inventors_cleaned,inventors_original,ipc_class,ipc_codes,ipc_names,ipc_original,ipc_subclass_codes,ipc_subclass_detail,ipc_subclass_names,priority_country_code,priority_country_code_names,priority_data_original,priority_date,publication_country_code,publication_country_name,publication_date,publication_date_original,publication_day,publication_month,publication_number,publication_number_espacenet_links,pubyear,title_cleaned,title_nlp_cleaned,title_nlp_multiword_phrases,title_nlp_raw,title_original
Google Inc,Corporate; People,Google Inc,Hafsteinsson Gudmundur;Google Inc.;LeBeau Michael J.;Marmasse Natalia;Agarwal Sumit;Nishar Dipchand,"Agarwal, Sumit; Hafsteinsson, Gudmundur; Lebeau, Michael, J; Marmasse, Natalia; Nishar, Dipchand",Hafsteinsson Gudmundur;LeBeau Michael J.;Marmasse Natalia;Agarwal Sumit;Nishar Dipchand,G10: Musical Instruments,G10L 15/06; G10L 15/26; G10L 17/00; G10L 21/00,"G10L 15/06: Speech recognition -> Creation of reference templates; Training of speech recognition systems, e.g. adaptation to the characteristics of the speaker&apos;s voice; G10L 15/26: Speech recognition -> Speech to text systems; G10L 17/00: Speaker identification or verification; G10L 21/00: Processing of the speech or voice signal to produce another audible or non-audible signal, e.g. visual or tactile, in order to modify its quality or its intelligibility",G10L 15/26;G10L 15/06;G10L 17/00;G10L 21/00,G10L,G10L: Speech Analysis Or Synthesis,G10L: Musical Instruments; Acoustics -> Speech Analysis Or Synthesis; Speech Recognition; Audio Analysis Or Processing,NA,NA,NA,NA,US,United States of America,0003-10-08,03.10.2008,3,10,US20080243501,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2008243501,2008,Location Based Responses To Telephone Requests,location Based Responses; Request,location Based Responses,location Based Responses; Requests,Location based responses to telephone requests
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;HAFSTEINSSON, Gudmundur;LEBEAU, Michael J.;MARMASSE, Natalia;AGARWAL, Sumit;NISHAR, Dipchand","Agarwal, Sumit; Hafsteinsson, Gudmundur; Lebeau, Michael, J; Marmasse, Natalia; Nishar, Dipchand","HAFSTEINSSON, Gudmundur;LEBEAU, Michael J.;MARMASSE, Natalia;AGARWAL, Sumit;NISHAR, Dipchand",G10: Musical Instruments,G10L 11/00; G10L 21/00,"G10L 11/00; G10L 21/00: Processing of the speech or voice signal to produce another audible or non-audible signal, e.g. visual or tactile, in order to modify its quality or its intelligibility",G10L 11/00;G10L 21/00,G10L,G10L: Speech Analysis Or Synthesis,G10L: Musical Instruments; Acoustics -> Speech Analysis Or Synthesis; Speech Recognition; Audio Analysis Or Processing,US,United States of America,"11/695,333 02.04.2007 US",02.04.2007,WO,Patent Co-operation Treaty,0010-10-08,10.10.2008,10,10,WO2008122031,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2008122031,2008,Location-Based Responses To Telephone Requests,location Based Responses; Request,location Based Responses,location-Based Responses; Requests,Location-Based Responses to Telephone Requests
Google Inc,Corporate; People,Google Inc,Reis George;Google Inc.;Blair-Goldensohn Sasha;McDonald Ryan T.,"Blair-Goldensohn, Sasha; Mcdonald, Ryan, T; Reis, George",Reis George;Blair-Goldensohn Sasha;McDonald Ryan T.,G06: Computing,G06F 17/27; G06N 5/02,"G06F 17/27: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Handling natural language data -> Automatic analysis, e.g. parsing, orthograph correction; G06N 5/02: Computer systems utilizing knowledge based models -> Knowledge representation",G06F 17/27;G06N 5/02,G06F; G06N,G06F: Electric Digital Data Processing; G06N: Computer Systems Based On Specific Computational Models,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing; G06N: Computing; Calculating; Counting -> Computer Systems Based On Specific Computational Models,NA,NA,NA,NA,US,United States of America,0031-07-09,31.07.2009,31,7,US20090193328,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2009193328,2009,Aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,Aspect-based sentiment summarization
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;NORRIS, James;DONAKER, Gregory, John;KANG, Nina, Weiyu","Donaker, Gregory, John; Kang, Nina, Weiyu; Norris, James","NORRIS, James;DONAKER, Gregory, John;KANG, Nina, Weiyu",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"11/775,066 09.07.2007 US",09.07.2007,WO,Patent Co-operation Treaty,0016-01-09,16.01.2009,16,1,WO2009009518,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2009009518,2009,Interpreting Local Search Queries,interpreting Local Search Queries,interpreting Local Search Queries,interpreting Local Search Queries,Interpreting local search queries
Google Inc,Corporate; People,Google Inc,Blair-Goldensohn Sasha;Google Inc.;Hannan Kerry;McDonald Ryan T.;Neylon Tyler;Reynar Jeffrey C.,"Blair-Goldensohn, Sasha; Hannan, Kerry; Mcdonald, Ryan, T; Neylon, Tyler; Reynar, Jeffrey, C",Blair-Goldensohn Sasha;Hannan Kerry;McDonald Ryan T.;Neylon Tyler;Reynar Jeffrey C.,G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0025-05-12,25.05.2012,25,5,US20120131021,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012131021,2012,Phrase Based Snippet Generation,phrase Based Snippet Generation,phrase Based Snippet Generation,phrase Based Snippet Generation,Phrase based snippet generation
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;BAUMAN, Shannon, P.;SCHMIDT, Keith;PREUSS, Dominic","Bauman, Shannon, P; Preuss, Dominic; Schmidt, Keith","BAUMAN, Shannon, P.;SCHMIDT, Keith;PREUSS, Dominic",G06: Computing,G06Q 30/00,"G06Q 30/00: Commerce, e.g. shopping or e-commerce",G06Q 30/00,G06Q,"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes","G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For",US,United States of America,"11/539,109 05.10.2006 US",05.10.2006,WO,Patent Co-operation Treaty,0018-04-08,18.04.2008,18,4,WO2008045701,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2008045701,2008,"Location Based, Content Targeted Information",Information; Locating,NA,Information; Location,"LOCATION BASED, CONTENT TARGETED INFORMATION"
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;SMITH, Adam;GE, Xianping;HAMON REID, Elizabeth;PARMAR, Abhishek","Ge, Xianping; Hamon Reid, Elizabeth; Parmar, Abhishek; Smith, Adam","SMITH, Adam;GE, Xianping;HAMON REID, Elizabeth;PARMAR, Abhishek",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"10/664,929 22.09.2003 US",22.09.2003,WO,Patent Co-operation Treaty,0008-04-05,08.04.2005,8,4,WO2005031614,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2005031614,2005,Systems And Methods For Clustering Search Results,method; Search Results; System,Search Results,Methods; Search Results; systems,Systems and methods for clustering search results
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;LEBEAU, Michael, J.;JITKOFF, John, Nicholas;BYRNE, William, J.","Byrne, William, J; Jitkoff, John, Nicholas; Lebeau, Michael, J","LEBEAU, Michael, J.;JITKOFF, John, Nicholas;BYRNE, William, J.",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"61/346,893 20.05.2010 US, 12/852,221 06.08.2010 US",06.08.2010; 20.05.2010,WO,Patent Co-operation Treaty,0025-11-11,25.11.2011,25,11,WO2011146839,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2011146839,2011,Automatic Routing Using Search Results,Automatic; Search Results,Search Results,Automatic; Search Results,AUTOMATIC ROUTING USING SEARCH RESULTS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;BLAIR-GOLDENSOHN, Sasha;HANNAN, Kerry;MCDONALD, Ryan, T.;NEYLON, Tyler;REYNAR, Jeffrey, C.","Blair-Goldensohn, Sasha; Hannan, Kerry; Mcdonald, Ryan, T; Neylon, Tyler; Reynar, Jeffrey, C","BLAIR-GOLDENSOHN, Sasha;HANNAN, Kerry;MCDONALD, Ryan, T.;NEYLON, Tyler;REYNAR, Jeffrey, C.",G06: Computing,G06F 7/00,G06F 7/00: Methods or arrangements for processing data by operating upon the order or content of the data handled,G06F 7/00,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"12/020,483 25.01.2008 US",25.01.2008,WO,Patent Co-operation Treaty,0031-07-09,31.07.2009,31,7,WO2009094586,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2009094586,2009,Phrase Based Snippet Generation,phrase Based Snippet Generation,phrase Based Snippet Generation,phrase Based Snippet Generation,Phrase based snippet generation
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;OHAZAMA, Chikai, J.;CHAPIN, Charles;NANAVATI, Vibhor;TANG, Xinyu","Chapin, Charles; Nanavati, Vibhor; Ohazama, Chikai, J; Tang, Xinyu","OHAZAMA, Chikai, J.;CHAPIN, Charles;NANAVATI, Vibhor;TANG, Xinyu",G06: Computing,G06F 15/16,"G06F 15/16: Digital computers in general; Data processing equipment in general -> Combinations of two or more digital computers each having at least an arithmetic unit, a programme unit and a register, e.g. for a simultaneous processing of several programmes",G06F 15/16,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"61/133,089 24.06.2008 US",24.06.2008,WO,Patent Co-operation Treaty,0022-01-10,22.01.2010,22,1,WO2010008464,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2010008464,2010,Method And System For Displaying Information Based On User Actions,Information; method; System; User Actions,User Actions,Information; method; System; User Actions,METHOD AND SYSTEM FOR DISPLAYING INFORMATION BASED ON USER ACTIONS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;REIS, George;BLAIR-GOLDENSOHN, Sasha;MCDONALD, Ryan, T.","Blair-Goldensohn, Sasha; Mcdonald, Ryan, T; Reis, George","REIS, George;BLAIR-GOLDENSOHN, Sasha;MCDONALD, Ryan, T.",G06: Computing,G06F 9/46,"G06F 9/46: Arrangements for programme control, e.g. control unit -> using stored programme, i.e. using internal store of processing equipment to receive and retain programme -> Multiprogramming arrangements",G06F 9/46,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"61/023,760 25.01.2008 US, 12/051,798 19.03.2008 US",19.03.2008; 25.01.2008,WO,Patent Co-operation Treaty,0031-07-09,31.07.2009,31,7,WO2009094664,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2009094664,2009,Aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,aspect-Based Sentiment Summarization,Aspect-based sentiment summarization
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;EGNOR, Daniel","Egnor, Daniel","EGNOR, DANIEL",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"11/024,790 30.12.2004 US",30.12.2004,WO,Patent Co-operation Treaty,0014-07-06,14.07.2006,14,7,WO2006074054,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006074054,2006,Indexing Documents Accordiing To Geographical Relevance,Geographical Relevance; indexing Documents Accordiing,Geographical Relevance; indexing Documents Accordiing,Geographical Relevance; indexing Documents Accordiing,INDEXING DOCUMENTS ACCORDIING TO GEOGRAPHICAL RELEVANCE
Google Inc,Corporate; People,Google Inc,Ailon Nir;Google Inc.;Liberty Edo;Khalsa Harishabd,"Ailon, Nir; Khalsa, Harishabd; Liberty, Edo",Ailon Nir;Liberty Edo;Khalsa Harishabd,G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0005-10-12,05.10.2012,5,10,US20120254183,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012254183,2012,Method And System For Clustering Data Points,Data Points; method; System,Data Points,Data Points; method; System,Method and system for clustering data points
Google Inc,Corporate; People,Google Inc,"GOOGLE, INC.;GARG, Ashutosh;ROMERO, Allen","Garg, Ashutosh; Romero, Allen","GARG, ASHUTOSH;ROMERO, ALLEN",G06: Computing,G06Q 30/00,"G06Q 30/00: Commerce, e.g. shopping or e-commerce",G06Q 30/00,G06Q,"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes","G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For",US,United States of America,"11/025,892 29.12.2004 US",29.12.2004,WO,Patent Co-operation Treaty,0007-07-06,07.07.2006,7,7,WO2006071648,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006071648,2006,Generating And/Or Serving Dynamic Promotional Offers Such As Coupons And Advertisements,Advertiser; Coupons; Serving Dynamic Promotional Offers,Serving Dynamic Promotional Offers,Advertisements; Coupons; Serving Dynamic Promotional Offers,GENERATING AND/OR SERVING DYNAMIC PROMOTIONAL OFFERS SUCH AS COUPONS AND ADVERTISEMENTS
