applicants_orgs_all,publication_number,applicants_orgs_all_1
Lazarillo De Tormes S L,EP1820402,Lazarillo De Tormes S L
Frisco Findus Ag,CA2047295,Frisco Findus Ag
Bicycle Tools Incorporated,US5428898,Bicycle Tools Incorporated
Ehrno Flexible A/S,WO2010130259,Ehrno Flexible A/S
"Pizza Box 2000, Inc",EP2680242,"Pizza Box 2000, Inc"
"Pizza Box 2000, Inc",WO2014001374,"Pizza Box 2000, Inc"
"Pizza Hut, Inc",US5256432,"Pizza Hut, Inc"
"Pizza Hut, Inc",US6286708,"Pizza Hut, Inc"
Fairmont Foods Company,US3982033,Fairmont Foods Company
"Lmo Consultants, Inc",US5997924,"Lmo Consultants, Inc"
Gallo Lea Organics Llc,US20140087032,Gallo Lea Organics Llc
Nieco Corporation,US4506652,Nieco Corporation
Gallo Lea Organics Llc,US20110262590,Gallo Lea Organics Llc
"Kraft Foods Holdings, Inc",EP1238588,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",US6627242,"Kraft Foods Holdings, Inc"
"Papa JohnS International, Inc",US6851603,"Papa JohnS International, Inc"
Restaurant Technologies Llc,US4883195,Restaurant Technologies Llc
"Ekco Housewares, Inc",US5503063,"Ekco Housewares, Inc"
"Kraft Foods Holdings, Inc",CA2358139,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",CA2308557,"Kraft Foods Holdings, Inc"
Nestle Sa,EP1199217,Nestle Sa
Arvco Container Corporation,US5253800,Arvco Container Corporation
Invention Machine Corporation,US5423477,Invention Machine Corporation
Frisco Findus Ag,EP0471095,Frisco Findus Ag
International Paper Company,US20050274779,International Paper Company
"Little Caesar Enterprises, Inc",US20080032004,"Little Caesar Enterprises, Inc"
"Wisco Industries, Inc",WO2005051148,"Wisco Industries, Inc"
"Kraft Foods Holdings, Inc",US20020064586,"Kraft Foods Holdings, Inc"
"Ekco Housewares, Inc",CA2182687,"Ekco Housewares, Inc"
"Pizza Hut, Inc",EP0557425,"Pizza Hut, Inc"
"Ekco Housewares, Inc",WO1995020901,"Ekco Housewares, Inc"
"Little Caesar Enterprises, Inc",WO2008018983,"Little Caesar Enterprises, Inc"
Nestle Sa,EP1042956,Nestle Sa
"Bastian Blessing Company, Inc",US4173942,"Bastian Blessing Company, Inc"
International Paper Company,US20060186186,International Paper Company
International Paper Company,WO2006023692,International Paper Company
Wells Manufacturing,US4904492,Wells Manufacturing
"Little Caesar Enterprises, Inc",CA2791135,"Little Caesar Enterprises, Inc"
Nestec,CA2777889,Nestec
International Paper Company,WO2005123545,International Paper Company
Int Paper Co,EP1799567,Int Paper Co
"Food Research, Inc",US4066796,"Food Research, Inc"
"Kraft Foods Holdings, Inc",US20040265438,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",US20020197360,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",US20060141104,"Kraft Foods Holdings, Inc"
"Pizza Hut, Inc",WO1992008358,"Pizza Hut, Inc"
Nestec,WO2011051062,Nestec
"Pizza Hut, Inc",US20130101709,"Pizza Hut, Inc"
"Little Caesar Enterprises, Inc",US20110209661,"Little Caesar Enterprises, Inc"
Int Paper Co,EP1776295,Int Paper Co
"Lawrence Equipment, Inc",US6010325,"Lawrence Equipment, Inc"
"Little Caesar Enterprises, Inc",WO2011106475,"Little Caesar Enterprises, Inc"
"Schwan Sales Enterprises, Inc",EP0104743,"Schwan Sales Enterprises, Inc"
"Pizza Hut, Inc",US4494786,"Pizza Hut, Inc"
"Pizza Hut, Inc",WO2013062915,"Pizza Hut, Inc"
"Pizza Box 2000, Inc",CA2485436,"Pizza Box 2000, Inc"
"Rykaart, Inc",US5117749,"Rykaart, Inc"
