Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
PIZZA LINER,PH22014000369 (Y1),25/07/2014,CO WARRENâ€‚[PH],CO WARRENâ€‚[PH],,,PH22014000369U,20140613,PH22014000369U 20140613,,,,,,,,,,,,,,
A packing box for pizza,KR20140006240 (U),12/12/2014,,,B65D5/18; B65D5/36; B65D5/64; B65D85/36,,KR20130004508U,20130604,KR20130004508U 20130604,,,,,,,,,,,,,,
Method for manufacturing rice pizza,KR20140142438 (A),12/12/2014,,,A21D6/00; A21D13/00; A23L1/10,,KR20130063770,20130604,KR20130063770 20130604,,,,,,,,,,,,,,
STRING CHEESE FOR PIZZA AND A METHOD OF MANUFACTURING,KR20140141940 (A),11/12/2014,,,A23C19/068,,KR20130063321,20130603,KR20130063321 20130603,,,,,,,,,,,,,,
Chicken pizza comprising fried chicken and manufacturing method thereof,KR20140137780 (A),03/12/2014,,,A21D13/00; A23L1/315,,KR20130058742,20130524,KR20130058742 20130524,,,,,,,,,,,,,,
PIZZA BOX,KR20140005697 (U); KR200476323 (Y1),06/11/2014,,,B65D5/49; B65D85/36,,KR20130003326U,20130429,KR20130003326U 20130429,JP2002264927 (A); JP2008000039 (A),,KR20070117875 (A); US6851601 (B1),,,,,,,,,,,
DUPLEX PIZZA BOX,KR20140000681 (U),04/02/2014,,,B65D5/462; B65D5/49; B65D85/36,,KR20120006510U,20120723,KR20120006510U 20120723,,,,,,,,,,,,,,
Kiln type Gas Pizza Oven,KR20130006269 (U),30/10/2013,,,A47J27/00; A47J37/01; A47J37/08; F24C3/00,,KR20120003260U,20120422,KR20120003260U 20120422,,,,,,,,,,,,,,
power structure of keeping warm pizza delivery bag,KR20130002692 (U),06/05/2013,,,A47J47/14; H05B3/68,,KR20110009506U,20111026,KR20110009506U 20111026,,,,,,,,,,,,,,
PIZZA BOX,KR20140005675 (U); KR200475295 (Y1),05/11/2014,,,B65D5/49; B65D5/64; B65D85/36,,KR20130003263U,20130426,KR20130003263U 20130426,JP2004217270 (A); JP2008207819 (A),,KR200367531Y (Y1); KR20110003040U (U),,,,,,,,,,,
"COMPOSITION OF THE PIZZA HALF-FINISHED PRODUCT ""KOLOSOK""",UA86322 (U),25/12/2013,KRAVCHENKO MYKHAILO FEDOROVYCHâ€‚[UA];  KRYVORUCHKO MYROSLAV YURIIOVYCHâ€‚[UA];  POP TETIANA MYKHAILIVNAâ€‚[UA];  ANTONENKO ARTEM VASYLIOVYCHâ€‚[UA],KRAVCHENKO MYKHAILO FEDOROVYCHâ€‚[UA];  KRYVORUCHKO MYROSLAV YURIIOVYCHâ€‚[UA];  POP TETIANA MYKHAILIVNAâ€‚[UA];  ANTONENKO ARTEM VASYLIOVYCHâ€‚[UA],A21D8/00,,UA20130008229U,20130701,UA20130008229U 20130701,,,,,,,,,,,,,,
METHOD OF TREATING A DIVIDED CHEESE PRODUCT FOR ANTICAKING AND COMPOSITIONS THEREOF,CA2876200 (A1),19/12/2013,FANNON JOHN Eâ€‚[US];  ANDERSON KENT Râ€‚[US],ALLIED BLENDING & INGREDIENTS INCâ€‚[US],A23C19/14; A23C19/09,A23C19/14; A23C2250/15; A23V2002/00; A23V2002/00; A23V2200/042; A23V2200/208; A23V2250/1578; A23V2250/18; A23V2250/5118,CA20132876200,20130614,US201261659809P 20120614; US201261730812P 20121128; WO2013US45810 20130614,,,,,,,,,,,,,,
"DEVICE FOR COOKING FOOD, IN PARTICULAR PIZZA, IN A WOOD-FIRED OVEN",US2014373734 (A1),25/12/2014,GIANNI PAOLOâ€‚[IT],G E D S A S DI GIANNI PAOLO & Câ€‚[IT],A21B1/42,A47J37/043; A47J37/044; A21B1/42,US201314376658,20130208,IT2012LU00001 20120210; IT2012FI00033U 20120521; WO2013IB51059 20130208,,,,,,,,,,,,,,
Pizza dough,USD719716 (S1),23/12/2014,CONWAY BUTCHâ€‚[US];  WINDSOR NICOLEâ€‚[US],NESTLE SAâ€‚[CH],,,US201229441068F,20121231,US201229441068F 20121231,,,,,,,,,,,,,,
PIZZA CUTTER,CA156018 (S),14/11/2014,,FISKARS BRANDS INCâ€‚[US],,,CA20140156018F,20140411,US201429486708F 20140401,,,,,,,,,,,,,,
Frozen pizza manufacturing method using Automatic encrusting machine,KR101448016 (B1),08/10/2014,CHAE HYUNG WONâ€‚[KR],CHAE HYUNG WONâ€‚[KR],A21D13/00; A23L3/36,,KR20130166943,20131230,KR20130166943 20131230,KR20090081515 (A); US5069921 (A); JP2003524426 (A); KR19990044404 (A),,,,,,,,,,,,,
READY-TO-BAKE GLUTEN-FREE PIZZA DOUGH FORMULATIONS,WO2014193417 (A1),04/12/2014,DACEY MICHELLEâ€‚[US];  O'OCONNOR CHRISTINEâ€‚[US],GEN MILLS INCâ€‚[US],A21D10/00; A21D10/02; A21D10/04; A21D13/00,A21D10/025; A21D13/007; A21D13/04; A21D13/066,WO2013US43754,20130531,WO2013US43754 20130531,,,,,,,,,,,US2010310747 (A1); US2003104100 (A1); EP1042956 (A1); US2009304861 (A1); US2013040016 (A1); US2010015279 (A1); US5804233 (A); WO2013043659 (A1); US2011262590 (A1); US6579546 (B1); US4388336 (A),,,
Pizza scissors,CN203956942 (U),26/11/2014,WU JUN,WU JUN,,,CN20142393883U,20140716,CN20142393883U 20140716,,,,,,,,,,,,,,
Frozen pizza preparation package and method,US2014335231 (A1),13/11/2014,WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERT Eâ€‚[US],WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERT Eâ€‚[US],A21D15/02; A21D17/00; B65D81/34,A21D8/06; A21D13/007; A21D15/02; A21D17/006; A23V2200/08; A21D17/004; B65D81/3446,US201414340006,20140724,US201414340006 20140724; US201414183602 20140219; US201314073949 20131107; US201361768603P 20130225,,,,,,,,,,,,,,
FOOD CARRIER,US2014332542 (A1),13/11/2014,HANNA DAVID Mâ€‚[US],HANNA DAVID Mâ€‚[US],A47G19/03; B65D5/42,A47G19/03; B65D81/261; B65D2585/366,US201414267426,20140501,US201414267426 20140501; US201361820326P 20130507,,,,,,,,,,,,,,
