"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"A packing box for pizza","KR20150000637 (U)","2015-02-11","","","B65D5/30; B65D5/46; B65D85/36","","KR20130006425U","20130801","KR20130006425U 20130801","","","","","","","","","","","","","",""
"SYSTEM AND METHOD FOR PRODUCING BREAD OR PIZZA PRODUCTS","WO2015026896 (A1)","2015-02-26","FAHEY-BURKE SAMUEL J [US];  MYHRVOLD NATHAN P [US];  ZHOU HUAN LARISSA [US];  CHAN ALISTAIR K [US]","ELWHA LLC [US]","A21D10/00; A21B5/00; A21D13/00","","WO2014US51801","20140820","US201313974256 20130823; US201313974270 20130823; US201313974283 20130823","","","","","","","","","","","","","",""
"process for the production of a pizza rice using the burrito","KR20150010269 (A)","2015-01-28","","","A21D8/06; A21D10/02; A23L1/10; A23L1/164","","KR20130085046","20130719","KR20130085046 20130719","","","","","","","","","","","","","",""
"SYSTEM AND METHOD FOR MANUFACTURE OF PIZZA PRODUCTS","US2015056336 (A1)","2015-02-26","FAHEY-BURKE SAMUEL J [US];  MYHRVOLD NATHAN P [US];  ZHOU HUAN LARISSA [US];  CHAN ALISTAIR K [US]","ELWHA LLC [US];  ELWHA LLC","A21C11/00; A21D13/00","A21C11/004; A21D13/007","US201313974283","20130823","US201313974283 20130823","","","","","","","","","","","","","",""
"Pizza flavored rice field which","KR20150005021 (A)","2015-01-14","","","A23L1/10; A23L1/48","","KR20130078177","20130704","KR20130078177 20130704","","","","","","","","","","","","","",""
"HETEROLOGOUS EXPRESSION OF NEISSERIAL PROTEINS","CA2875231 (A1)","2001-09-07","ARICO MARIA BEATRICE [IT];  COMANDUCCI MAURIZIO [IT];  GALEOTTI CESIRA [IT];  MASIGNANI VEGA [IT];  GIULIANIA MARZIA MONICA [IT];  PIZZA MARIAGRAZIA [IT]","NOVARTIS VACCINES & DIAGNOSTIC [IT]","C12N15/09; C12P21/02; A61K39/095; A61P31/04; A61P37/04; C07K14/22; C07K19/00; C12N15/31; C12N15/62; C12N15/63; C12N15/70; C12Q1/68; G01N33/48; A61K38/00","C07K14/22; C12Q1/689; A61K38/00; C07K2319/00; C12Q2600/156; A61K39/095; C12P21/00; C12P21/02; A61K2039/55505","CA20012875231","20010228","GB20000004695 20000228; GB20000027675 20001113; CA20012689666 20010228","","","","","","","","","","","","","",""
"A packing box for pizza","KR20140006240 (U)","2014-12-12","","","B65D5/18; B65D5/36; B65D5/64; B65D85/36","","KR20130004508U","20130604","KR20130004508U 20130604","","","","","","","","","","","","","",""
"Method for manufacturing rice pizza","KR20140142438 (A)","2014-12-12","","","A21D6/00; A21D13/00; A23L1/10","","KR20130063770","20130604","KR20130063770 20130604","","","","","","","","","","","","","",""
"STRING CHEESE FOR PIZZA AND A METHOD OF MANUFACTURING","KR20140141940 (A)","2014-12-11","","","A23C19/068","","KR20130063321","20130603","KR20130063321 20130603","","","","","","","","","","","","","",""
"Chicken pizza comprising fried chicken and manufacturing method thereof","KR20140137780 (A)","2014-12-03","","","A21D13/00; A23L1/315","","KR20130058742","20130524","KR20130058742 20130524","","","","","","","","","","","","","",""
"PIZZA BOX","KR20140005697 (U)","2014-11-06","","","B65D5/49; B65D85/36","","KR20130003326U","20130429","KR20130003326U 20130429","","","","","","","","","","","","","",""
"MUCOSAL DTPa VACCINES","CY1110327 (T1)","2015-01-14","RAPPUOLI RINO [IT];  PIZZA MARIAGRAZIA [IT]","NOVARTIS VACCINES & DIAGNOSTIC [IT]","A61K9/12; A61K39/116; A61K39/05; A61K39/08; A61K39/10; A61K39/106; A61K39/108; A61K39/39; A61P31/04; A61P31/10; A61P37/04","A61K39/116; A61K39/39; A61K2039/541; A61K2039/55544; Y10S530/825; Y10S424/832","CY200911000868T","20090812","EP20000962770 20000928; GB19990023060 19990929","","","","","","","","","","","","","",""
"DUPLEX PIZZA BOX","KR20140000681 (U)","2014-02-04","","","B65D5/462; B65D5/49; B65D85/36","","KR20120006510U","20120723","KR20120006510U 20120723","","","","","","","","","","","","","",""
"Kiln type Gas Pizza Oven","KR20130006269 (U)","2013-10-30","","","A47J27/00; A47J37/01; A47J37/08; F24C3/00","","KR20120003260U","20120422","KR20120003260U 20120422","","","","","","","","","","","","","",""
"power structure of keeping warm pizza delivery bag","KR20130002692 (U)","2013-05-06","","","A47J47/14; H05B3/68","","KR20110009506U","20111026","KR20110009506U 20111026","","","","","","","","","","","","","",""
