row no,publication number,kind code,title,priority document,priority country,earliest priority date,earliest priority year,application date,publication date,publication year,applicant,inventors,ipc classes,family members,family size,family size,wo in family,grant or application type families,granted patent
1,AU2007202956,B2,Polymorph of a pharmaceutical,AU19990050037,Australia,1999-07-19T00:00:00Z,1999,2007-06-27T00:00:00Z,2007-07-19T00:00:00Z,2007,ABBOTT LAB,SALEKI-GERHARDT AZITA      | ALLEN KIMBERLY A      | NARAYANAN BIKSHANDARKOIL A      | SPIWEK HARRY O      | BAUER JOHN F      | CHEMBURKAR SANJAY R      | PATEL KETAN      | BAUER PHILIP E,C07D41700,AU2003254711A1 | AU2007202943A1 | AU2003254711B2,3,1,No,Grant,Yes
2,CA2425495,A1,ANTI-RETROVIRAL ANALYSIS BY MASS SPECTROMETRY,CA2425495,Canada,2003-04-14T00:00:00Z,2003,2003-04-14T00:00:00Z,2004-10-14T00:00:00Z,2004,STEVEN J SOLDIN,SOLDIN STEVEN J    US,H01J04900 | G01N03072,None,1,1,No,Application,No
3,CN101440091,A,"Ritonavir water-soluble derivatives, synthesizing method and use thereof",CN20081072486,China,2008-12-26T00:00:00Z,2008,2008-12-26T00:00:00Z,2009-05-27T00:00:00Z,2009,XIAMEN UNIVERSITY,JIANFENG ZHENG    CN  | GUOZONG SHI    CN,C07D41714 | A61P03118 | A61K031426,None,1,1,No,Application,No
4,CN101613325,A,Process for producing 5-hydroxymethylthiazole,CN20081031608,China,2008-06-27T00:00:00Z,2008,2008-06-27T00:00:00Z,2009-12-30T00:00:00Z,2009,CUICENG YE,CUICENG YE      | HONGBO XIAO      | CHUNTAO KUANG      | ZUOHU YIN      | HANZHOU SUN,C07D27724,None,1,1,No,Application,No
5,CN1247554,C,Process for synthesizing ritonavir,CN20031121091,China,2003-12-24T00:00:00Z,2003,2003-12-24T00:00:00Z,2006-03-29T00:00:00Z,2006,XIAMEN UNIVERSITY,JIN LIREN XU    CN,C07D27728 | A61P03118,CN1554647A ,1,1,No,Grant,Yes
6,DE10131036,A1,"Medicinal composition, useful for treating infection with human immunodeficiency virus, comprises condurango bark, guaiacum wood, dandelion leaves and roots, peppermint leaves and arnica",DE20011031036,Germany,2001-06-29T00:00:00Z,2001,2001-06-29T00:00:00Z,2003-06-05T00:00:00Z,2003,JOHANN TEUBNER,TEUBNER JOHANN    DE,A61K03627 | A61K036185 | A61K03600 | A61K03628 | A61K036288 | A61K036534,None,1,1,No,Application,No
7,DE10145361,A1,Sterile liquid composition for pulmonary administration in aerosol form comprises a sparingly water-soluble drug in the form of suspended particles of defined size,DE20011045361,Germany,2001-09-14T00:00:00Z,2001,2001-09-14T00:00:00Z,2003-04-03T00:00:00Z,2003,PARI GMBH,KELLER MANFRED    DE  | LINTZ FRANK    DE,A61K031568 | A61K031282 | A61K0317072 | A61K031496 | A61K03146 | A61K04506 | A61K031522 | A61K0314174 | A61K0314196 | A61K031426 | A61K031445 | A61K03152 | A61K0314709 | A61K00912 | A61K0317048 | A61K031436 | A61K03158 | A61K03157 | A61K00900 | A61K031573 | A61K031427 | A61K03119 | A61K031137 | A61K031415 | A61K031337 | A61K031167 | A61K03117 | A61K00910,None,1,1,No,Application,No
8,DE102005012681,A1,"New 1,5-dihydro-pyrrol-2-one compounds are HDM2 inhibitors, useful for treating e.g. stroke, heart infarct, ischemia, multiple sclerosis, Alzheimer's disease, degenerative disease, viral infection and cancer",DE200510012681,Germany,2005-03-18T00:00:00Z,2005,2005-03-18T00:00:00Z,2006-09-21T00:00:00Z,2006,LUTZ WEBER,WEBER LUTZ    DE,C07D20736 | A61P02528 | A61P00900 | A61K0314015 | A61P03112 | A61P03500,None,1,1,No,Application,No
9,DE102007030695,A1,"Co-crystal, useful e.g. to prepare a pharmaceutical formulation for the treatment of psychosis, neurological disorder and struma lymphomatosa, comprises an amino compound and urea as further component",DE200710063623,Germany,2007-07-01T00:00:00Z,2007,2007-07-01T00:00:00Z,2009-01-08T00:00:00Z,2009,SCICONCEPT GMBH,BENDELE TANJA    DE  | FELDERHOFF MICHAEL    DE,C07C27502 | A61K03117 | A61K03116 | A01N03718 | C07C23300 | A61P00310,None,1,1,No,Application,No
10,EP0490667,B1,HIV protease inhibitors.,JP19900409673,Japan,1990-12-11T00:00:00Z,1990,1991-12-11T00:00:00Z,1992-06-17T00:00:00Z,1992,JAPAN ENERGY CORPORATION,MIMOTO TSUTOMU  JP  | HATTORI NAOKO  JP  | NAGANO YUUICHI  JP  | SHINTANI MAKOTO  JP  | KISO YOSHIAKI  JP,C07K00502 | C07K00702 | A61K03702,ES2134764T3 | DK0490667T3 | AT181080T  | ZA9109721A  | DE69131317D1 | AU8890091A  | CA2056911C  | US6329502B1 | NO920023A  | EP490667B1 | CA2056911A1 | NO305085B1 | EP490667A3 | FI108113B1 | GR3031004T3 | JP2700511B2 | AU653972B2 | FI915819A  | NO920023D0 | US6313094B1 | DE69131317T2 | FI915819D0 | JP5170722A ,14,13,No,Grant,Yes
11,EP0728481,A2,Use of quinoxaline and protease inhibitors in a composition for the treatment of AIDS and/or HIV infections,DE19951006742,Germany,1995-02-27T00:00:00Z,1995,1996-02-14T00:00:00Z,1996-08-28T00:00:00Z,1996,BAYER AG,PAESSENS ARNOLD DR    DE  | BLUNCK MARTIN DR    DE  | RIESS GUENTHER DR    DE  | KLEIM JOERG-PETER DR    DE  | ROESNER MANFRED DR    DE,C12N00999 | A61P03112 | A61P03118 | A61P03704 | A61K031425 | A61K031365 | A61K03134 | C07D24144 | A61K03155 | A61K03144 | A61K04500 | A61K03147 | A61K031495 | A61K03855 | A61K04506,PL312908A1 | NO960775A  | ZA9601516A  | HU9600455A3 | HU9600455A2 | SK25196A3 | IL117247A  | AU710158B2 | BR9600809A  | AU4561596A  | DE19506742A1 | FI960850A  | HU9600455D0 | NZ286058A  | CN1141196A  | NO960775D0 | CZ9600578A3 | IL117247D0 | JP8245392A  | FI960850D0 | HR960070A2 | EP728481A3 | CA2170222A1,18,17,No,Grant,Yes
12,EP1112741,A1,Use of protease inhibitors for the treatment of necrotizing infections,US19970069389P,United States,1997-12-11T00:00:00Z,1997,1999-12-29T00:00:00Z,2001-07-04T00:00:00Z,2001,BIOVAIL TECHNOLOGIES LTD,FUISZ RICHARD C   US,A61K03100 | A61P03100,US6143742A  | CA2293913A1 | JP2001187746A ,4,4,No,Grant,Yes
13,EP1125936,A2,Aryl substituted azabenzimidazoles and their use in the treatment of HIV and AIDS related diseases,US20000177920P,United States,2000-01-25T00:00:00Z,2000,2001-01-24T00:00:00Z,2001-08-22T00:00:00Z,2001,PFIZER,SHERER BRIAN ALAN  US  | GOLDSTEIN STEVEN WAYNE  US  | STIRTAN WILLIAM GEORGE  US,C07D47104 | A61K031437 | A61P03118 | C07D47104 | 7C 07D 235:00 J | 7C 07D 221:00 J,CA2332087C  | JP2001226374A  | EP1125936A3 | CA2332087A1 | BR200100155A  | JP3489821B2 | JP2004002483A  | US6242461B1,6,5,No,Grant,Yes
