type,office,office_code,origin,technology_original,technology_number,technology,year,records
Income,High-income,W1,Resident,0 - Unknown,0,Unknown,1980,2694
Income,High-income,W1,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,4681
Income,High-income,W1,Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,1515
Income,High-income,W1,Resident,3 - Telecommunications,3,Telecommunications,1980,1328
Income,High-income,W1,Resident,4 - Digital communication,4,Digital communication,1980,279
Income,High-income,W1,Resident,5 - Basic communication processes,5,Basic communication processes,1980,1044
Income,High-income,W1,Resident,6 - Computer technology,6,Computer technology,1980,1009
Income,High-income,W1,Resident,7 - IT methods for management,7,IT methods for management,1980,20
Income,High-income,W1,Resident,8 - Semiconductors,8,Semiconductors,1980,839
Income,High-income,W1,Resident,9 - Optics,9,Optics,1980,1884
Income,High-income,W1,Resident,10 - Measurement,10,Measurement,1980,3966
Income,High-income,W1,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,301
Income,High-income,W1,Resident,12 - Control,12,Control,1980,1215
Income,High-income,W1,Resident,13 - Medical technology,13,Medical technology,1980,1998
Income,High-income,W1,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,3841
Income,High-income,W1,Resident,15 - Biotechnology,15,Biotechnology,1980,499
Income,High-income,W1,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,814
Income,High-income,W1,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,2044
Income,High-income,W1,Resident,18 - Food chemistry,18,Food chemistry,1980,787
Income,High-income,W1,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,2826
Income,High-income,W1,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,2328
Income,High-income,W1,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,1264
Income,High-income,W1,Resident,22 - Micro-structural and nano-technology,22,Micro-structural and nano-technology,1980,1
Income,High-income,W1,Resident,23 - Chemical engineering,23,Chemical engineering,1980,2851
Income,High-income,W1,Resident,24 - Environmental technology,24,Environmental technology,1980,1107
Income,High-income,W1,Resident,25 - Handling,25,Handling,1980,3524
Income,High-income,W1,Resident,26 - Machine tools,26,Machine tools,1980,3166
Income,High-income,W1,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,2376
Income,High-income,W1,Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,2150
Income,High-income,W1,Resident,29 - Other special machines,29,Other special machines,1980,3881
Income,High-income,W1,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,1965
Income,High-income,W1,Resident,31 - Mechanical elements,31,Mechanical elements,1980,3321
Income,High-income,W1,Resident,32 - Transport,32,Transport,1980,3418
Income,High-income,W1,Resident,"33 - Furniture, games",33,"Furniture, games",1980,2483
Income,High-income,W1,Resident,34 - Other consumer goods,34,Other consumer goods,1980,1871
Income,High-income,W1,Resident,35 - Civil engineering,35,Civil engineering,1980,3997
Income,High-income,W1,Non-Resident,0 - Unknown,0,Unknown,1980,3040
Income,High-income,W1,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,9543
Income,High-income,W1,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,3810
Income,High-income,W1,Non-Resident,3 - Telecommunications,3,Telecommunications,1980,2157
Income,High-income,W1,Non-Resident,4 - Digital communication,4,Digital communication,1980,509
Income,High-income,W1,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1980,2039
Income,High-income,W1,Non-Resident,6 - Computer technology,6,Computer technology,1980,2003
Income,High-income,W1,Non-Resident,7 - IT methods for management,7,IT methods for management,1980,42
Income,High-income,W1,Non-Resident,8 - Semiconductors,8,Semiconductors,1980,1464
Income,High-income,W1,Non-Resident,9 - Optics,9,Optics,1980,4749
Income,High-income,W1,Non-Resident,10 - Measurement,10,Measurement,1980,6391
Income,High-income,W1,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,681
Income,High-income,W1,Non-Resident,12 - Control,12,Control,1980,1962
Income,High-income,W1,Non-Resident,13 - Medical technology,13,Medical technology,1980,3426
Income,High-income,W1,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,12589
Income,High-income,W1,Non-Resident,15 - Biotechnology,15,Biotechnology,1980,1422
Income,High-income,W1,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,4839
Income,High-income,W1,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,5996
Income,High-income,W1,Non-Resident,18 - Food chemistry,18,Food chemistry,1980,1972
Income,High-income,W1,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,7403
Income,High-income,W1,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,6715
Income,High-income,W1,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,3137
Income,High-income,W1,Non-Resident,22 - Micro-structural and nano-technology,22,Micro-structural and nano-technology,1980,2
Income,High-income,W1,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1980,7150
Income,High-income,W1,Non-Resident,24 - Environmental technology,24,Environmental technology,1980,2576
Income,High-income,W1,Non-Resident,25 - Handling,25,Handling,1980,6908
Income,High-income,W1,Non-Resident,26 - Machine tools,26,Machine tools,1980,6767
Income,High-income,W1,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,5586
Income,High-income,W1,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,6800
Income,High-income,W1,Non-Resident,29 - Other special machines,29,Other special machines,1980,8027
Income,High-income,W1,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,3553
Income,High-income,W1,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1980,7234
Income,High-income,W1,Non-Resident,32 - Transport,32,Transport,1980,7011
Income,High-income,W1,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1980,3162
Income,High-income,W1,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1980,3583
Income,High-income,W1,Non-Resident,35 - Civil engineering,35,Civil engineering,1980,7142
Income,Lower middle-income,W3,Resident,0 - Unknown,0,Unknown,1980,32
Income,Lower middle-income,W3,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,4
Income,Lower middle-income,W3,Resident,25 - Handling,25,Handling,1980,3
Income,Lower middle-income,W3,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,1
Income,Lower middle-income,W3,Resident,29 - Other special machines,29,Other special machines,1980,1
Income,Lower middle-income,W3,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,1
Income,Lower middle-income,W3,Resident,32 - Transport,32,Transport,1980,1
Income,Lower middle-income,W3,Resident,"33 - Furniture, games",33,"Furniture, games",1980,1
Income,Lower middle-income,W3,Non-Resident,0 - Unknown,0,Unknown,1980,101
Income,Lower middle-income,W3,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,30
Income,Lower middle-income,W3,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,6
Income,Lower middle-income,W3,Non-Resident,3 - Telecommunications,3,Telecommunications,1980,13
Income,Lower middle-income,W3,Non-Resident,4 - Digital communication,4,Digital communication,1980,1
Income,Lower middle-income,W3,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1980,1
