"type","office","office_code","origin","technology_original","technology_number","technology","year","count"
"Region","Africa","R1","Resident","0 - Unknown",0,"Unknown","1980",93
"Region","Africa","R1","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",5
"Region","Africa","R1","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",1
"Region","Africa","R1","Resident","10 - Measurement",10,"Measurement","1980",4
"Region","Africa","R1","Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",1
"Region","Africa","R1","Resident","12 - Control",12,"Control","1980",2
"Region","Africa","R1","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",1
"Region","Africa","R1","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",1
"Region","Africa","R1","Resident","18 - Food chemistry",18,"Food chemistry","1980",1
"Region","Africa","R1","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",3
"Region","Africa","R1","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",10
"Region","Africa","R1","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",1
"Region","Africa","R1","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",4
"Region","Africa","R1","Resident","24 - Environmental technology",24,"Environmental technology","1980",1
"Region","Africa","R1","Resident","25 - Handling",25,"Handling","1980",4
"Region","Africa","R1","Resident","26 - Machine tools",26,"Machine tools","1980",2
"Region","Africa","R1","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",5
"Region","Africa","R1","Resident","29 - Other special machines",29,"Other special machines","1980",4
"Region","Africa","R1","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",4
"Region","Africa","R1","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",3
"Region","Africa","R1","Resident","32 - Transport",32,"Transport","1980",3
"Region","Africa","R1","Resident","33 - Furniture, games",33,"Furniture, games","1980",2
"Region","Africa","R1","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",1
"Region","Africa","R1","Resident","35 - Civil engineering",35,"Civil engineering","1980",7
"Region","Africa","R1","Non-Resident","0 - Unknown",0,"Unknown","1980",827
"Region","Africa","R1","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",195
"Region","Africa","R1","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",34
"Region","Africa","R1","Non-Resident","3 - Telecommunications",3,"Telecommunications","1980",47
"Region","Africa","R1","Non-Resident","4 - Digital communication",4,"Digital communication","1980",13
"Region","Africa","R1","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1980",19
"Region","Africa","R1","Non-Resident","6 - Computer technology",6,"Computer technology","1980",21
"Region","Africa","R1","Non-Resident","7 - IT methods for management",7,"IT methods for management","1980",2
"Region","Africa","R1","Non-Resident","8 - Semiconductors",8,"Semiconductors","1980",11
"Region","Africa","R1","Non-Resident","9 - Optics",9,"Optics","1980",29
"Region","Africa","R1","Non-Resident","10 - Measurement",10,"Measurement","1980",116
"Region","Africa","R1","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",19
"Region","Africa","R1","Non-Resident","12 - Control",12,"Control","1980",31
"Region","Africa","R1","Non-Resident","13 - Medical technology",13,"Medical technology","1980",117
"Region","Africa","R1","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",841
"Region","Africa","R1","Non-Resident","15 - Biotechnology",15,"Biotechnology","1980",51
"Region","Africa","R1","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",432
"Region","Africa","R1","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",172
"Region","Africa","R1","Non-Resident","18 - Food chemistry",18,"Food chemistry","1980",113
"Region","Africa","R1","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",656
"Region","Africa","R1","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",365
"Region","Africa","R1","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",107
"Region","Africa","R1","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1980",343
"Region","Africa","R1","Non-Resident","24 - Environmental technology",24,"Environmental technology","1980",96
"Region","Africa","R1","Non-Resident","25 - Handling",25,"Handling","1980",228
"Region","Africa","R1","Non-Resident","26 - Machine tools",26,"Machine tools","1980",136
"Region","Africa","R1","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",123
"Region","Africa","R1","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",149
"Region","Africa","R1","Non-Resident","29 - Other special machines",29,"Other special machines","1980",295
"Region","Africa","R1","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",132
"Region","Africa","R1","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1980",196
"Region","Africa","R1","Non-Resident","32 - Transport",32,"Transport","1980",218
"Region","Africa","R1","Non-Resident","33 - Furniture, games",33,"Furniture, games","1980",59
"Region","Africa","R1","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1980",68
"Region","Africa","R1","Non-Resident","35 - Civil engineering",35,"Civil engineering","1980",312
"Region","Asia","R2","Resident","0 - Unknown",0,"Unknown","1980",48
"Region","Asia","R2","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",7
"Region","Asia","R2","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",3
"Region","Asia","R2","Resident","3 - Telecommunications",3,"Telecommunications","1980",3
"Region","Asia","R2","Resident","9 - Optics",9,"Optics","1980",1
"Region","Asia","R2","Resident","12 - Control",12,"Control","1980",1
"Region","Asia","R2","Resident","13 - Medical technology",13,"Medical technology","1980",1
"Region","Asia","R2","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",10
"Region","Asia","R2","Resident","15 - Biotechnology",15,"Biotechnology","1980",6
"Region","Asia","R2","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",1
"Region","Asia","R2","Resident","18 - Food chemistry",18,"Food chemistry","1980",9
"Region","Asia","R2","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",10
"Region","Asia","R2","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",7
"Region","Asia","R2","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",5
"Region","Asia","R2","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",6
"Region","Asia","R2","Resident","24 - Environmental technology",24,"Environmental technology","1980",1
"Region","Asia","R2","Resident","25 - Handling",25,"Handling","1980",4
"Region","Asia","R2","Resident","26 - Machine tools",26,"Machine tools","1980",2
"Region","Asia","R2","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",6
"Region","Asia","R2","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",14
"Region","Asia","R2","Resident","29 - Other special machines",29,"Other special machines","1980",2
"Region","Asia","R2","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",1
"Region","Asia","R2","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",2
"Region","Asia","R2","Resident","32 - Transport",32,"Transport","1980",4
"Region","Asia","R2","Resident","33 - Furniture, games",33,"Furniture, games","1980",3
"Region","Asia","R2","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",11
"Region","Asia","R2","Resident","35 - Civil engineering",35,"Civil engineering","1980",4
"Region","Asia","R2","Non-Resident","0 - Unknown",0,"Unknown","1980",331
