"ipc_class","publication_number"
"A21: Baking","US20090208610"
"A21: Baking","US20140020570"
"A21: Baking","US20130239763"
"A21: Baking","EP1820402"
"B65: Conveying","US20030024843"
"B65: Conveying","WO2002014184"
"A21: Baking","CA2047295"
"B26: Hand Cutting Tools","US5428898"
"B65: Conveying","CA2667902"
"B65: Conveying","US20100001051"
"A21: Baking","CA2654215"
"A21: Baking","US4381317"
"B65: Conveying","WO2010130259"
"B65: Conveying","US20060037885"
"A21: Baking","EP2680242"
"A47: Furniture","CA2314711"
"B65: Conveying","WO2008055554"
"A47: Furniture","US6299918"
"B65: Conveying","US5482724"
"B65: Conveying","US5895698"
"A21: Baking","US6753025"
"B65: Conveying","CA2051013"
"B65: Conveying","US4811846"
"A21: Baking","CA1247954"
"B65: Conveying","US5180075"
"A21: Baking","US4563946"
"A21: Baking","CA1330276"
"A21: Baking","WO2014001374"
"B26: Hand Cutting Tools","US20050011939"
"B65: Conveying","US5169058"
"A21: Baking","US5256432"
"A21: Baking","CA1126524"
"B65: Conveying","CA2336424"
"A21: Baking","US6286708"
"A21: Baking","US3982033"
"A21: Baking","US5997924"
"A21: Baking","US20140087032"
"B65: Conveying","CA2102085"
"A21: Baking","US4506652"
"A21: Baking","US20110262590"
"A21: Baking","EP1238588"
"A45: Hand Or Travelling Articles","US20140008265"
"A47: Furniture","US5253565"
"B26: Hand Cutting Tools","US20050028388"
"A21: Baking","US6627242"
"B65: Conveying","US6851603"
"B65: Conveying","US4883195"
"A21: Baking","US20120060373"
"A21: Baking","US20070141205"
"A21: Baking","US6557260"
"A21: Baking","US20140290068"
"A21: Baking","CA2259293"
"B65: Conveying","CA2046836"
"A47: Furniture","US20110185919"
"A21: Baking","US6068313"
"A21: Baking","CA2096021"
"G06: Computing","US20100306136"
"A21: Baking","US5503063"
"A21: Baking","CA2358139"
"A47: Furniture","US4836593"
"A23: Foods Or Foodstuffs","US20130142935"
"A21: Baking","CA2308557"
"A21: Baking","EP1199217"
"A47: Furniture","US4574479"
"B65: Conveying","US20120175367"
"B65: Conveying","US5253800"
"B65: Conveying","US5423477"
"A21: Baking","EP0471095"
"A47: Furniture","US20070227365"
"B65: Conveying","US6386440"
"B65: Conveying","US20050274779"
"A21: Baking","US20080032004"
"A21: Baking","US4559002"
"A47: Furniture","WO2005051148"
"A21: Baking","US20020064586"
"A21: Baking","US5112630"
"A21: Baking","CA2182687"
"A47: Furniture","US4170302"
"A21: Baking","US20120009302"
"A21: Baking","US20050118305"
"A21: Baking","EP0557425"
"A21: Baking","WO1995020901"
"B65: Conveying","WO1992016417"
"A21: Baking","US20030160040"
"A21: Baking","WO2008018983"
"A21: Baking","CA1226758"
"A21: Baking","EP1042956"
"A21: Baking","US4173942"
"A21: Baking","US6010731"
"A21: Baking","US5200225"
"B65: Conveying","US20060186186"
"B65: Conveying","WO2006023692"
"B65: Conveying","US5002221"
"B65: Conveying","US20020079357"
"A21: Baking","US4904492"
"A21: Baking","WO2014130755"
"A45: Hand Or Travelling Articles","US4344534"
"A21: Baking","CA2791135"
"A47: Furniture","US4498376"
"A21: Baking","CA2777889"
"B65: Conveying","WO2005123545"
"B65: Conveying","EP1799567"
"A21: Baking","US4066796"
"A23: Foods Or Foodstuffs","US20120024170"
"A21: Baking","CA1156508"
"A21: Baking","WO1998000028"
"A21: Baking","US4131080"
"B65: Conveying","US20120076444"
"A21: Baking","US20140242223"
"A21: Baking","US20040265438"
"A21: Baking","US20020197360"
"B65: Conveying","US20060141104"
"A21: Baking","WO1992008358"
"A21: Baking","WO2011051062"
"A23: Foods Or Foodstuffs","US20130101709"
"A21: Baking","US20110209661"
"B65: Conveying","EP1776295"
"A21: Baking","US6010325"
"A21: Baking","WO2011106475"
"A21: Baking","EP1444897"
"A21: Baking","EP0104743"
"A21: Baking","US4463021"
"B65: Conveying","US20110138750"
"B65: Conveying","US5950912"
"A47: Furniture","US4494786"
"B65: Conveying","US20130068830"
"B65: Conveying","US4605579"
"G06: Computing","WO2013062915"
"A21: Baking","US20100065571"
"A45: Hand Or Travelling Articles","US6398028"
"A21: Baking","US20110217434"
"A47: Furniture","CA2485436"
"A21: Baking","US5117749"
"B65: Conveying","US20080073416"
"B65: Conveying","EP2284086"
"A47: Furniture","US20080203746"
"B65: Conveying","US20080149696"
"A21: Baking","EP0898892"
"A21: Baking","CA2344924"
"A21: Baking","WO1999051101"
"B26: Hand Cutting Tools","US4738028"
"A21: Baking","CA2694618"
"A21: Baking","US4632836"
"A21: Baking","US5260076"
"A21: Baking","US4649053"
"A21: Baking","US20140242222"
"B65: Conveying","US20120111931"
"A21: Baking","CA1203417"
"A21: Baking","US5454295"
"A47: Furniture","US6439529"
"A21: Baking","US20070082091"
"B65: Conveying","US20080149695"
"B65: Conveying","CA1100916"
"A23: Foods Or Foodstuffs","WO2013033586"
"B65: Conveying","EP1857377"
"B65: Conveying","US20040094436"
"A47: Furniture","CA2075516"
"A21: Baking","CA1331316"
"B65: Conveying","US20100176137"
"A21: Baking","EP1262102"
"A21: Baking","US5681602"
"A47: Furniture","US5273174"
"A21: Baking","CA2059342"
"B65: Conveying","US5887783"
"B65: Conveying","US5472139"
"B65: Conveying","WO2011070563"
"A21: Baking","CA1299924"
"B65: Conveying","EP1985556"
"A21: Baking","US4924763"
"A21: Baking","US20030183164"
"B65: Conveying","US20090035423"
"A21: Baking","US20120185086"
"A45: Hand Or Travelling Articles","US6629607"
