publication_year,Canada,China,Eurasian Patent Organization,European Patent Office,Germany,Israel,Japan,"Korea, Republic of",Mexico,Patent Co-operation Treaty,Portugal,Russian Federation,Singapore,South Africa,Spain,United States of America
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1968,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1971,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1972,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
1974,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
1975,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
1976,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
1977,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
1978,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
1979,8,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15
1980,11,NA,NA,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,27
1981,14,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
1982,10,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1983,12,NA,NA,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,32
1984,14,NA,NA,9,2,1,NA,NA,NA,2,NA,NA,NA,1,NA,18
1985,7,NA,NA,5,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,32
1986,9,NA,NA,10,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,29
1987,14,NA,NA,13,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,29
1988,7,NA,NA,27,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,33
1989,10,NA,NA,27,1,1,NA,1,NA,9,NA,NA,NA,4,NA,53
1990,19,NA,NA,22,2,NA,NA,NA,NA,8,NA,NA,NA,2,NA,86
1991,49,NA,NA,29,2,NA,NA,NA,NA,13,NA,NA,NA,3,NA,58
1992,66,NA,NA,36,2,1,NA,NA,NA,31,NA,NA,NA,3,NA,73
1993,59,NA,NA,29,2,NA,NA,1,NA,16,NA,NA,NA,3,NA,91
1994,50,NA,NA,26,5,NA,NA,NA,NA,20,NA,NA,NA,3,NA,58
1995,39,NA,NA,29,2,1,NA,NA,NA,22,NA,NA,NA,1,NA,79
1996,36,1,NA,27,1,1,NA,1,NA,23,NA,NA,NA,9,NA,81
1997,45,NA,NA,34,1,NA,NA,1,NA,26,NA,5,NA,7,NA,67
1998,46,NA,NA,36,1,NA,17,10,NA,34,NA,NA,1,3,NA,64
1999,47,2,2,60,4,NA,26,2,2,46,NA,NA,NA,4,NA,95
2000,54,1,NA,48,3,1,27,17,2,63,NA,NA,NA,3,NA,118
2001,53,2,NA,56,6,3,15,21,NA,85,NA,NA,NA,NA,NA,156
2002,66,4,NA,54,3,3,16,18,2,77,NA,NA,NA,6,2,206
2003,53,1,NA,55,7,1,15,16,2,91,3,NA,1,3,NA,256
2004,59,5,NA,75,6,6,13,21,NA,73,NA,NA,NA,2,NA,242
2005,69,3,NA,58,6,NA,14,43,NA,96,1,1,NA,4,NA,241
2006,77,5,1,62,9,2,24,31,3,102,NA,NA,NA,3,NA,250
2007,68,5,1,47,3,2,9,29,2,103,2,1,NA,3,1,248
2008,62,6,NA,67,3,1,14,17,4,121,1,NA,NA,4,NA,295
2009,47,6,NA,62,5,1,5,17,4,65,1,1,NA,NA,NA,244
2010,57,3,NA,56,1,2,6,14,2,79,NA,1,NA,NA,NA,286
2011,49,7,NA,58,2,3,4,18,NA,92,NA,NA,NA,NA,NA,253
2012,16,9,NA,48,7,1,NA,30,NA,80,1,1,NA,NA,NA,288
2013,9,4,NA,45,NA,NA,NA,29,NA,97,NA,NA,NA,NA,NA,284
2014,NA,8,NA,46,NA,NA,NA,8,NA,89,1,1,NA,NA,NA,292
2015,NA,NA,NA,2,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,41
NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
