phrases,n
Mobile Device,15
Search Results,14
Digital Map System,10
conversion Path Performance Measures,9
Augmented Reality Application,5
Processing Queries,5
Content Providers,4
Geographic Area,4
Geographical Relevance,4
Local Search Results,4
Location Prominence,4
multiple Views,4
Network Speech Recognizers,4
Search Query,4
aspect-Based Sentiment Summarization,3
authoritative Document Identification,3
Business Listings Search,3
category Suggestions,3
Data Points,3
indexing Documents,3
interpreting Local Search Queries,3
Location Awareness,3
location Based Responses,3
Media Content Segment,3
phrase Based Snippet Generation,3
providing Device-Specific Instructions,3
providing Profile Information,3
search Query Categorization,3
Search Ranking,3
Structured Information,3
User Actions,3
