ipc_subclass_detail,n
"A21D: Treatment, E.G. Preservation, Of Flour Or Dough For Baking, E.G. By Addition Of Materials",1664
"A23L: Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j",1594
"B65D: Containers For Storage Or Transport Of Articles Or Materials, E.G. Bags, Barrels, Bottles, Boxes, Cans, Cartons, Crates, Drums, Jars, Tanks, Hoppers, Forwarding Containers",1540
G06F: Electric Digital Data Processing,1039
A47J: Kitchen Equipment,959
"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",861
A21C: Machines Or Equipment For Making Or Processing Doughs,738
H05B: Electric Heating,671
A21B: Bakers' Ovens,646
F24C: Other Domestic Stoves Or Ranges,542
