phrases,n
Food Product,165
 Microwave Ovens,105
 Food Product,50
conveyor Oven,46
Crust Pizza,42
Cook Food,39
Microwave Ovens,39
 Making Same,38
 Related Method,37
Bakery Product,37
 Microwave Cooking,34
 Pizza Oven,34
Baked Product,34
microwave Heating,34
pizza Box,33
Dough Product,30
dairy Product,28
Composite Food,26
Mobile Device,24
 pizza Dough,23
 Preparation Method,23
Baked Goods,22
Cook Pizza,22
Making Pizza,22
 microwave Heating,21
Making Same,21
pizza Dough,21
Heated Food,20
Communication System,19
cooking Appliance,19
frozen Pizza,19
Food Package,18
 Mobile Device,17
 Reducing Acrylamide,17
food Container,17
Food Item,17
 Prepared Food,16
 User Interface,16
manufacturing Method,16
 Food Item,15
Associated Method,15
microwave Interactive Package,15
